"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
216137	651594	1457.53	906.094	66.4567	66456.7	162.8	8035.21	7499.53	89994.4	0.0363101	0.08
207705	610247	1565.71	868.321	67.0578	67057.8	163.77	7981.06	7448.99	89387.9	0.0365759	0.08
189588	491481	1990.73	763.978	69.5223	69522.3	167.954	7797.57	7277.73	87332.8	0.0375003	0.08
178841	5003.64	19535.6	53.2695	373.427	373427	287.142	4629.69	4321.04	51852.5	0.060666	0.08
181903	5306.5	19154.3	55.4552	363.457	363457	288.212	4708.21	4394.33	52732	0.0599068	0.08
219328	666113	1422.86	919.448	66.2667	66266.7	162.499	8053.35	7516.46	90197.5	0.0362218	0.08
190615	46718	12025.3	299.833	163.477	163477	278.307	6125.64	5717.27	68607.2	0.0478702	0.08
223957	686278	1377.13	938.046	66.0183	66018.3	162.111	8077.87	7539.35	90472.2	0.036103	0.08
211805	630955	1509.66	887.184	66.7448	66744.8	163.262	8008.68	7474.76	89697.2	0.03644	0.08
187198	38556.2	12897.3	267.205	179.619	179619	284.235	5992.56	5593.05	67116.6	0.0488655	0.08
189261	20077.1	15124.5	165.272	235.66	235660	293.078	5587.63	5215.12	62581.5	0.0520634	0.08
220097	669530	1414.91	922.596	66.2234	66223.4	162.431	8057.56	7520.39	90244.6	0.0362014	0.08
204092	590827	1622.13	850.76	67.3761	67376.1	164.293	7954.17	7423.89	89086.7	0.036709	0.08
211629	630094	1511.92	886.397	66.7573	66757.3	163.282	8007.55	7473.71	89684.5	0.0364455	0.08
190241	497412	1963.94	768.966	69.3629	69362.9	167.675	7807.97	7287.44	87449.3	0.0374469	0.08
200690	571269	1683.25	833.227	67.7242	67724.2	164.872	7926.01	7397.61	88771.3	0.0368493	0.08
201054	573436	1676.25	835.16	67.6842	67684.2	164.805	7929.18	7400.57	88806.9	0.0368335	0.08
200901	572526	1679.18	834.349	67.701	67701	164.833	7927.85	7399.33	88791.9	0.0368401	0.08
207934	611440	1562.37	869.405	67.0391	67039.1	163.739	7982.68	7450.5	89406	0.0365679	0.08
217624	113017	7809.05	457.272	111.974	111974	237.349	6677.4	6232.24	74786.8	0.0440271	0.08
188426	480147	2044.05	754.53	69.8411	69841.1	168.512	7777.26	7258.77	87105.3	0.0376049	0.08
209823	86635	9059.45	408.845	124.142	124142	251.084	6519.43	6084.81	73017.7	0.0450819	0.08
203636	588285	1629.82	848.472	67.4197	67419.7	164.365	7950.57	7420.53	89046.4	0.0367269	0.08
224583	688932	1371.31	940.497	65.9869	65986.9	162.062	8081.05	7542.31	90507.8	0.0360877	0.08
225740	693797	1360.75	944.993	65.93	65930	161.974	8086.84	7547.72	90572.6	0.0360597	0.08
201310	67683.3	10246.1	364.542	137.672	137672	263.048	6368.62	5944.04	71328.5	0.0461226	0.08
209393	618927	1541.73	876.213	66.9235	66923.5	163.551	7992.76	7459.91	89519	0.0365182	0.08
195593	538742	1796.02	804.492	68.3752	68375.2	165.972	7876.48	7351.38	88216.6	0.0370981	0.08
218978	121042	7491.09	469.747	109.14	109140	233.707	6718.35	6270.46	75245.5	0.0437595	0.08
217837	114113	7764.19	459.031	111.569	111569	236.838	6683.14	6237.6	74851.2	0.0439894	0.08
177302	4864.87	19726.8	52.2643	378.193	378193	286.598	4591.05	4284.98	51419.7	0.061043	0.08
200210	568392	1692.64	830.662	67.778	67778	164.962	7921.77	7393.65	88723.8	0.0368705	0.08
218677	118996	7569.95	466.653	109.835	109835	234.615	6708.14	6260.93	75131.2	0.0438259	0.08
230789	714397	1317.56	964.046	65.6987	65698.7	161.619	8110.93	7570.21	90842.5	0.0359438	0.08
202859	583899	1643.26	844.53	67.4961	67496.1	164.492	7944.32	7414.7	88976.4	0.036758	0.08
176894	4829.34	19777.6	52.0064	379.432	379432	286.453	4580.87	4275.48	51305.8	0.0611426	0.08
204237	591631	1619.72	851.484	67.3624	67362.4	164.27	7955.3	7424.95	89099.4	0.0367034	0.08
203927	589912	1624.9	849.935	67.3918	67391.8	164.319	7952.88	7422.68	89072.2	0.0367155	0.08
201050	67162.2	10283.5	363.171	138.138	138138	263.404	6363.77	5939.52	71274.3	0.0461566	0.08
177841	4912.59	19659.8	52.6103	376.541	376541	286.789	4604.53	4297.56	51570.7	0.0609112	0.08
199199	562220	1713.14	825.175	67.8957	67895.7	165.16	7912.58	7385.08	88620.9	0.0369165	0.08
178693	4990.02	19553.9	53.1709	373.89	373890	287.091	4625.97	4317.57	51810.9	0.0607022	0.08
181752	5290.63	19173.2	55.3409	363.964	363964	288.16	4704.29	4390.67	52688.1	0.0599445	0.08
190247	45938.9	12103.8	296.949	164.82	164820	278.889	6114.12	5706.52	68478.2	0.0479553	0.08
