"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).PM0_5"
209111	86923.5	9025.96	408.602	139.583	139583	275.718	7173.79	6695.54	80346.5	0.0462612	66000
194671	534005	1811.02	799.906	72.824	72824	182.859	8663.1	8085.56	97026.7	0.0384702	66000
200203	569756	1685.67	831.442	71.9932	71993.2	181.293	8712.99	8132.12	97585.4	0.0382472	66000
203185	587049	1631.19	846.932	71.6352	71635.2	180.621	8735.51	8153.14	97837.7	0.0381472	66000
207559	83068.3	9241.61	400.388	142.676	142676	277.953	7137.37	6661.55	79938.6	0.0464818	66000
206423	224283	4692.34	573.992	94.1592	94159.2	221.854	7907.2	7380.05	88560.6	0.0421371	66000
213036	638022	1489.28	893.242	70.7123	70712.3	178.899	8796.78	8210.33	98524	0.0378775	66000
209450	87802.1	8978.27	410.426	138.915	138915	275.215	7181.79	6703	80436.1	0.046213	66000
209291	619559	1537.78	876.374	71.0261	71026.1	179.482	8775.4	8190.37	98284.4	0.0379712	66000
208760	616859	1545.13	873.916	71.0738	71073.8	179.571	8772.2	8187.38	98248.6	0.0379853	66000
203674	589786	1622.89	849.396	71.5808	71580.8	180.519	8738.99	8156.39	97876.6	0.0381318	66000
175940	4753.38	19883.2	51.4412	430.882	430882	287.532	4581.85	4276.39	51316.7	0.0660906	66000
196031	58952.1	10890.5	339.356	171.204	171204	292.726	6838.21	6382.33	76588	0.0483536	66000
187172	469404	2094.12	745.198	74.7347	74734.7	186.483	8559.13	7988.52	95862.3	0.0389423	66000
194009	55044.2	11220.3	327.39	178.212	178212	295.091	6772.26	6320.78	75849.3	0.0487808	66000
168116	4170.95	20867.1	47.159	445.381	445381	284.292	4386.48	4094.05	49128.6	0.0679117	66000
224495	689504	1368.15	940.64	69.9362	69936.2	177.464	8852.37	8262.21	99146.5	0.0376356	66000
196680	547663	1760.94	811.867	72.4909	72490.9	182.23	8682.72	8103.87	97246.5	0.0383822	66000
176667	4815.24	19792.3	51.8904	429.381	429381	287.839	4600.76	4294.05	51528.6	0.0659163	66000
218409	662992	1428.16	916.178	70.3193	70319.3	178.17	8824.43	8236.13	98833.6	0.0377568	66000
206370	224504	4688.05	574.148	94.1241	94124.1	221.795	7908.03	7380.83	88569.9	0.0421328	66000
210521	625730	1521.23	882.002	70.9188	70918.8	179.283	8782.64	8197.13	98365.6	0.0379394	66000
191782	293456	3576.36	618.987	85.394	85394	206.507	8142.65	7599.8	91197.6	0.040935	66000
199782	252742	4180.77	593.198	90.0528	90052.8	214.835	8009.83	7475.84	89710.1	0.0416062	66000
188523	20448.1	15059.6	167.56	299.828	299828	303.366	5799.74	5413.09	64957.1	0.0557167	66000
179383	5061.56	19452.9	53.6724	423.504	423504	288.999	4672.8	4361.28	52335.3	0.0652559	66000
203567	74050.2	9791.4	379.716	151.15	151150	283.363	7042.23	6572.75	78873	0.0470655	66000
170362	4324.54	20583.1	48.2997	441.506	441506	285.21	4441.13	4145.05	49740.6	0.0673986	66000
194538	56068.6	11131.8	330.599	176.28	176280	294.479	6790.21	6337.53	76050.3	0.048664	66000
208144	84493.4	9160.65	403.464	141.501	141501	277.121	7151.1	6674.36	80092.3	0.0463985	66000
188774	44335.3	12241.4	290.162	203.469	203469	300.86	6550.4	6113.71	73364.5	0.0502573	66000
172735	4497.94	20284.5	49.5767	437.17	437170	286.19	4500.09	4200.08	50401	0.0668482	66000
196888	12655.2	15989.1	110.444	333.332	333332	300.971	5535.93	5166.87	62002.5	0.057808	66000
183272	5465.93	18964.6	56.5833	414.253	414253	290.697	4780.28	4461.6	53539.2	0.0642808	66000
170104	4306.46	20615.6	48.166	441.961	441961	285.104	4434.81	4139.16	49669.9	0.0674577	66000
189432	45794.8	12091.4	295.684	199.396	199396	300.171	6584.81	6145.82	73749.8	0.0500243	66000
191126	507117	1918.74	776.726	73.5457	73545.7	184.225	8622.2	8047.39	96568.7	0.0386547	66000
205691	600804	1590.32	859.343	71.368	71368	180.121	8752.76	8169.24	98030.9	0.0380709	66000
176000	4758.44	19875.7	51.4779	430.759	430759	287.557	4583.41	4277.85	51334.1	0.0660763	66000
194796	56567.7	11089.2	332.143	175.365	175365	294.178	6798.78	6345.53	76146.3	0.0486084	66000
192584	52261.4	11468.5	318.391	183.835	183835	296.717	6720.91	6272.85	75274.2	0.0491171	66000
189009	44863	12186.7	292.177	201.97	201970	300.615	6563.01	6125.48	73505.7	0.0501718	66000
197598	61985.4	10648.5	348.16	166.378	166378	290.851	6885.06	6426.06	77112.7	0.0480534	66000
214714	187168	5494.27	544.89	100.952	100952	232.709	7758.97	7241.71	86900.5	0.0429233	66000
197994	556148	1731.23	819.353	72.294	72294	181.859	8694.55	8114.91	97379	0.0383293	66000
199230	65181	10405.9	357.025	161.786	161786	288.86	6930.85	6468.79	77625.5	0.0477625	66000
208492	615488	1548.89	872.668	71.0982	71098.2	179.617	8770.56	8185.86	98230.3	0.0379925	66000
216737	175779	5776.84	534.489	103.466	103466	236.473	7709.44	7195.48	86345.7	0.0431911	66000
174830	4661.83	20022.1	50.7748	433.12	433120	287.064	4553.23	4249.68	50996.1	0.0663551	66000
174406	4627.79	20075.1	50.5266	433.956	433956	286.887	4542.4	4239.57	50874.8	0.0664553	66000
182576	5388.27	19052.3	56.0251	415.988	415988	290.389	4760.63	4443.26	53319.1	0.0644581	66000
214045	101523	8294.63	436.877	129.916	129916	267.72	7294.67	6808.36	81700.4	0.04554	66000
171802	4428.3	20401.8	49.0651	438.906	438906	285.803	4476.75	4178.3	50139.6	0.0670656	66000
207517	610453	1562.86	868.091	71.189	71189	179.786	8764.53	8180.22	98162.7	0.038019	66000
188624	314951	3308.85	632.623	83.3922	83392.2	202.827	8206.61	7659.5	91914	0.0406181	66000
204695	76491.9	9635.74	385.531	148.659	148659	281.875	7069.54	6598.24	79178.9	0.0468969	66000
217187	114856	7720.61	459.407	123.083	123083	261.045	7387.9	6895.37	82744.5	0.0449953	66000
202866	585248	1636.7	845.312	71.6713	71671.3	180.689	8733.21	8150.99	97811.9	0.0381574	66000
185260	443753	2233.22	724.536	75.6896	75689.6	188.3	8511.87	7944.41	95333	0.0391602	66000
201712	70170.5	10050.3	370.11	155.467	155467	285.754	6996.05	6529.65	78355.8	0.0473527	66000
227957	703873	1337.47	953.929	69.7415	69741.5	177.106	8866.97	8275.84	99310.1	0.0375725	66000
202192	242177	4361.34	586.264	91.484	91484	217.318	7972.73	7441.21	89294.5	0.0417969	66000
