"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
216137	652157	1455.04	906.394	68.6537	68653.7	171.295	8456.98	7893.18	94718.2	0.0371998	0.12
207705	610886	1562.69	868.676	69.2947	69294.7	172.4	8404.61	7844.31	94131.7	0.0374238	0.12
189588	492729	1983.42	764.773	71.8824	71882.4	176.994	8223.99	7675.72	92108.6	0.0382165	0.12
178841	5006.56	19529.1	53.2839	392.757	392757	287.852	4642.17	4332.69	51992.3	0.0622602	0.12
181903	5310.49	19146.6	55.4759	383.968	383968	289.047	4723.11	4408.24	52898.9	0.0615132	0.12
219328	666654	1420.5	919.732	68.4502	68450.2	170.948	8474.41	7909.45	94913.4	0.0371258	0.12
190615	47427.8	11942.6	302.089	174.729	174729	287.43	6353.05	5929.51	71154.1	0.0485697	0.12
223957	686794	1374.95	938.312	68.1835	68183.5	170.496	8497.89	7931.37	95176.4	0.0370266	0.12
211805	631552	1506.93	887.509	68.9615	68961.5	171.824	8431.38	7869.29	94431.4	0.037309	0.12
187198	39448.8	12784.3	270.768	192.824	192824	292.279	6195.87	5782.81	69393.7	0.0496449	0.12
189261	489692	1997.33	762.226	71.97	71970	177.152	8218.57	7670.66	92048	0.0382407	0.12
220097	670067	1412.59	922.877	68.4038	68403.8	170.869	8478.45	7913.22	94958.6	0.0371087	0.12
204092	591514	1618.79	851.149	69.6325	69632.5	172.989	8378.43	7819.86	93838.4	0.0375368	0.12
211629	630693	1509.17	886.723	68.9749	68974.9	171.847	8430.29	7868.27	94419.2	0.0373136	0.12
190241	498595	1957.1	769.714	71.7171	71717.1	176.696	8234.32	7685.36	92224.4	0.0381703	0.12
200690	572016	1679.5	833.659	70.0007	70000.7	173.635	8350.88	7794.16	93529.9	0.0376563	0.12
201054	574175	1672.55	835.587	69.9584	69958.4	173.561	8354	7797.06	93564.8	0.0376428	0.12
200901	573268	1675.46	834.778	69.9761	69976.1	173.592	8352.69	7795.85	93550.1	0.0376484	0.12
207934	612077	1559.37	869.758	69.2748	69274.8	172.366	8406.19	7845.77	94149.3	0.037417	0.12
217624	114932	7724.75	459.96	116.479	116479	247.83	7011.93	6544.47	78533.6	0.044434	0.12
188426	481545	2035.66	755.434	72.2117	72211.7	177.589	8203.81	7656.89	91882.7	0.038307	0.12
209823	87605	8998.47	410.479	130.149	130149	261.808	6823.42	6368.52	76422.3	0.045558	0.12
203636	237123	4454.94	583.212	88.8316	88831.6	207.664	7555.89	7052.16	84625.9	0.0414381	0.12
224583	689444	1369.15	940.761	68.1496	68149.6	170.439	8500.92	7934.2	95210.4	0.0370138	0.12
225740	694304	1358.63	945.252	68.0883	68088.3	170.336	8506.45	7939.35	95272.2	0.0369905	0.12
201310	68429.9	10183.2	366.11	145.358	145358	273.455	6644.25	6201.3	74415.6	0.0466696	0.12
209393	619548	1538.83	876.555	69.1519	69151.9	172.152	8415.97	7854.91	94258.9	0.037375	0.12
195593	539624	1791.32	805.022	70.686	70686	174.848	8302.17	7748.69	92984.3	0.0378695	0.12
218978	161631	6161.59	520.656	102.261	102261	229.178	7252.66	6769.15	81229.8	0.043064	0.12
217837	116113	7677.39	461.821	116.012	116012	247.287	7018.99	6551.05	78612.7	0.0443928	0.12
177302	4867.39	19720.8	52.2764	396.933	396933	287.253	4602.49	4295.66	51547.9	0.0626298	0.12
200210	569148	1688.82	831.101	70.0575	70057.5	173.735	8346.73	7790.28	93483.3	0.0376744	0.12
218677	121486	7468.24	470.042	113.981	113981	244.868	7050.26	6580.24	78962.9	0.044211	0.12
230789	714883	1315.59	964.29	67.8387	67838.7	169.917	8529.38	7960.75	95529	0.0368943	0.12
202859	584606	1639.78	844.934	69.7595	69759.5	173.211	8368.81	7810.89	93730.7	0.0375784	0.12
176894	4831.76	19771.7	52.018	398.017	398017	287.095	4592.06	4285.92	51431.1	0.0627273	0.12
204237	592316	1616.39	851.872	69.618	69618	172.963	8379.53	7820.9	93850.8	0.037532	0.12
203927	590601	1621.53	850.327	69.6491	69649.1	173.018	8377.16	7818.69	93824.2	0.0375422	0.12
201050	67905	10220.4	364.742	145.885	145885	273.795	6638.47	6195.9	74350.8	0.0467062	0.12
177841	4915.24	19653.6	52.6232	395.487	395487	287.463	4616.32	4308.57	51702.8	0.0625007	0.12
199199	562998	1709.16	825.63	70.1817	70181.7	173.954	8337.71	7781.86	93382.4	0.0377137	0.12
178693	4992.9	19547.4	53.1851	393.163	393163	287.795	4638.34	4329.12	51949.5	0.0622957	0.12
181752	5294.56	19165.5	55.3612	384.416	384416	288.988	4719.06	4404.45	52853.4	0.0615504	0.12
190247	46655.6	12019.5	299.274	176.257	176257	287.928	6339.26	5916.64	70999.7	0.0486626	0.12
207756	611151	1561.95	868.916	69.2903	69290.3	172.392	8404.96	7844.63	94135.6	0.0374223	0.12
192294	50834.3	11614.7	314.035	168.472	168472	285.188	6410.67	5983.29	71799.5	0.0481843	0.12
207057	80809.2	9383.4	395.875	134.782	134782	265.754	6766.03	6314.96	75779.5	0.0459094	0.12
204770	595246	1607.67	854.515	69.5654	69565.4	172.872	8383.56	7824.65	93895.9	0.0375146	0.12
206846	606390	1575.36	864.597	69.3708	69370.8	172.532	8398.63	7838.73	94064.7	0.0374495	0.12
174075	4598.96	20123.5	50.3229	405.229	405229	286	4521.08	4219.67	50636.1	0.0633951	0.12
198044	261781	4037.56	599.331	85.7846	85784.6	202.331	7642.23	7132.74	85592.9	0.0409947	0.12
208215	83564.7	9223.23	401.928	132.821	132821	264.13	6789.97	6337.31	76047.7	0.0457623	0.12
171756	4422.82	20413.9	49.0308	410.824	410824	285.102	4464	4166.4	49996.8	0.0639371	0.12
214654	645234	1472.09	900.038	68.7546	68754.6	171.468	8448.49	7885.26	94623.1	0.0372359	0.12
171575	4409.6	20436.6	48.9335	411.248	411248	285.033	4459.6	4162.29	49947.5	0.0639791	0.12
213830	193153	5357.4	550.396	95.7166	95716.6	219.137	7387.72	6895.21	82742.5	0.0423265	0.12
213447	194973	5315.43	551.918	95.3864	95386.4	218.607	7395.1	6902.09	82825.1	0.0422868	0.12
202396	581967	1647.95	842.564	69.809	69809	173.298	8365.1	7807.42	93689.1	0.0375945	0.12
215339	185616	5536.03	543.89	97.1337	97133.7	221.386	7356.74	6866.29	82395.5	0.0424937	0.12
203673	589188	1625.8	849.054	69.6749	69674.9	173.063	8375.2	7816.86	93802.3	0.0375507	0.12
218897	664725	1425.01	917.955	68.4767	68476.7	170.993	8472.12	7907.31	94887.7	0.0371355	0.12
197358	551372	1749.03	815.341	70.4258	70425.8	174.386	8320.29	7765.61	93187.3	0.0377899	0.12
201359	575964	1666.83	837.187	69.9237	69923.7	173.499	8356.56	7799.46	93593.5	0.0376316	0.12
209794	621577	1533.35	878.403	69.1191	69119.1	172.096	8418.6	7857.36	94288.3	0.0373637	0.12
191295	507554	1918.25	777.317	71.474	71474	176.258	8249.78	7699.8	92397.5	0.0381013	0.12
203877	590324	1622.37	850.077	69.6541	69654.1	173.027	8376.78	7818.33	93819.9	0.0375439	0.12
169730	4278.61	20668.7	47.9652	415.477	415477	284.321	4415.04	4120.7	49448.4	0.0644057	0.12
176691	4814.22	19797	51.8907	398.553	398553	287.016	4586.88	4281.09	51373.1	0.0627758	0.12
158751	3615.43	22075.7	42.9283	437.366	437366	280.143	4162.45	3884.95	46619.4	0.0668726	0.12
