"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
174869	4660.85	20028.2	50.7786	390.034	390034	285.888	4533.64	4231.39	50776.7	0.0620245	0.09
210121	87636.8	9002.81	410.837	125.082	125082	253.212	6597.61	6157.77	73893.2	0.0451581	0.09
187817	40480.9	12678.9	275.343	178.733	178733	285.089	6074.47	5669.5	68034	0.0488122	0.09
226617	697560	1352.45	948.423	66.3883	66388.3	163.833	8187.75	7641.9	91702.8	0.0362786	0.09
211768	630914	1509.5	887.096	67.2639	67263.9	165.246	8106.18	7565.77	90789.2	0.0366627	0.09
183031	5429.87	19011.1	56.3412	364.986	364986	288.847	4742.16	4426.01	53112.2	0.0600209	0.09
203173	585841	1636.98	846.221	67.993	67993	166.46	8045.24	7508.89	90106.7	0.0369541	0.09
210478	209236	5004.03	563.531	90.298	90298	206.377	7163.46	6685.9	80230.8	0.0416393	0.09
187671	472430	2081.66	748.106	70.638	70638	171.057	7861.88	7337.76	88053.1	0.0378549	0.09
182680	5391.07	19055.1	56.062	366.162	366162	288.721	4732.83	4417.31	53007.7	0.0601091	0.09
197913	263233	4017.04	600.5	83.283	83283	194.092	7344.81	6855.15	82261.8	0.0406002	0.09
228124	703759	1339.33	954.156	66.3164	66316.4	163.719	8194.92	7648.6	91783.2	0.0362452	0.09
191524	48767.1	11820.4	307.131	162.858	162858	279.183	6209.42	5795.46	69545.5	0.0478309	0.09
181497	5265.13	19202.9	55.155	370.048	370048	288.298	4701.71	4388.27	52659.2	0.0604044	0.09
169716	4276.72	20673.5	47.954	403.698	403698	283.988	4409.17	4115.23	49382.7	0.0632505	0.09
209939	87166.9	9028.38	409.862	125.356	125356	253.482	6594.27	6154.65	73855.8	0.0451802	0.09
191754	49231.7	11775.6	308.765	162.101	162101	278.844	6216.16	5801.75	69621	0.0477826	0.09
182137	5332.46	19122.9	55.64	367.958	367958	288.528	4718.51	4403.94	52847.3	0.0602449	0.09
208292	218485	4813.28	570.423	88.9099	88909.9	204.005	7196.13	6716.39	80596.6	0.0414491	0.09
242479	758853	1231.54	1005.15	65.7337	65733.7	162.817	8256.21	7705.79	92469.5	0.0359616	0.09
214971	646283	1470.35	901.169	67.0432	67043.2	164.885	8125.8	7584.08	91008.9	0.0365697	0.09
182857	5410.57	19032.9	56.2024	365.57	365570	288.785	4737.53	4421.7	53060.4	0.0600646	0.09
216341	652670	1454.65	907.032	66.9551	66955.1	164.741	8133.8	7591.54	91098.5	0.0365319	0.09
