"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).PM0_5"
203921	589302	1627.81	849.578	65.4767	65476.7	157.074	7599.65	7093.01	85116.1	0.0358288	54000
215422	188511	5475.08	547.16	88.8127	88812.7	197.071	6580.86	6142.14	73705.6	0.0414355	54000
217878	175035	5809.84	534.903	91.0912	91091.2	200.856	6531.35	6095.93	73151.1	0.0417452	54000
176680	4802.23	19825.8	51.8311	332.487	332487	284.044	4535	4232.67	50792	0.0577526	54000
210425	623627	1530.02	880.677	64.9947	64994.7	156.414	7654.46	7144.16	85730	0.0355649	54000
169092	4229.05	20768.9	47.6152	357.421	357421	281.984	4364.61	4073.64	48883.6	0.0594646	54000
159480	3651.66	21994	43.2221	385.389	385389	279.034	4156.3	3879.21	46550.5	0.0616314	54000
209538	214814	4892.65	568.176	84.9435	84943.5	190.47	6673.61	6228.7	74744.4	0.0408654	54000
179619	5065.66	19463.5	53.7434	322.225	322225	284.74	4602.27	4295.45	51545.4	0.057092	54000
195596	537999	1800.02	804.05	66.3538	66353.8	158.345	7511.11	7010.37	84124.4	0.0362626	54000
215325	101487	8320.49	438.129	109.879	109879	228.39	6212.63	5798.45	69581.5	0.0438301	54000
185168	434651	2292.37	718.135	69.016	69016	162.562	7301.44	6814.68	81776.2	0.037328	54000
164470	3934.95	21352.9	45.4025	371.396	371396	280.599	4263.31	3979.09	47749.1	0.0605083	54000
190872	501890	1945.59	772.973	67.1196	67119.6	159.512	7443.12	6946.91	83362.9	0.0366021	54000
178852	4994.15	19558	53.2252	324.932	324932	284.565	4584.65	4279	51348.1	0.0572641	54000
211799	630441	1511.96	886.895	64.9071	64907.1	156.297	7664.98	7153.98	85847.7	0.0355147	54000
206876	78364.1	9551.24	391.25	120.66	120660	240.943	6073.23	5668.35	68020.2	0.0447937	54000
204068	590119	1625.34	850.314	65.4643	65464.3	157.057	7600.99	7094.26	85131.1	0.0358223	54000
210171	86243	9091.8	408.536	116.477	116477	236.352	6124.76	5716.44	68597.3	0.0444338	54000
