"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).n_5"
210542	203060	5119.18	557.138	109.216	109216	259.505	8921.49	8326.72	99920.7	0.0437667	1
161999	3790	21672	44.2964	370.29	370290	279.513	4204.82	3924.49	47093.9	0.060423	1
201877	582677	1638.97	842.001	81.2914	81291.4	218.849	10574.8	9869.85	118438	0.0402626	1
208504	618286	1535.93	874.23	80.5692	80569.2	217.628	10642.7	9933.22	119199	0.0401342	1
188205	486077	2005.95	757.934	83.9115	83911.5	223.238	10346.7	9656.91	115883	0.0407022	1
190484	297018	3520.19	620.153	95.4894	95489.4	241.414	9570.25	8932.23	107187	0.0422992	1
184672	5611.28	18819.3	57.6624	331.17	331170	287.855	4757.77	4440.58	53287	0.0576666	1
188118	313455	3317.11	630.58	93.8633	93863.3	239.007	9662.68	9018.5	108222	0.0421004	1
200235	67900.7	10199.2	363.895	170.421	170421	297.819	7229.7	6747.72	80972.7	0.0483053	1
204729	77591.5	9556.37	387.616	160.618	160618	295.097	7435.98	6940.25	83283	0.0476876	1
204766	598709	1590.92	856.454	80.9538	80953.8	218.279	10606.3	9899.19	118790	0.040203	1
191965	51313.9	11551	315.088	193.335	193335	301.298	6795.31	6342.29	76107.5	0.0496745	1
222881	684968	1373.35	935.497	79.442	79442	215.714	10753.7	10036.8	120441	0.0399266	1
228775	709432	1321.37	958.133	79.0849	79084.9	215.106	10790.2	10070.9	120851	0.0398589	1
185612	457287	2150.47	734.293	84.9633	84963.3	224.977	10262.1	9577.98	114936	0.0408685	1
204373	596582	1597.13	854.531	80.9974	80997.4	218.353	10602.2	9895.38	118745	0.0402107	1
210798	201909	5144.45	556.225	109.448	109448	259.775	8912.1	8317.96	99815.5	0.043789	1
187420	41059.1	12591.2	277.158	212.872	212872	302.026	6462.97	6032.1	72385.2	0.0507901	1
217517	661410	1426.96	913.758	79.812	79812	216.343	10716.6	10002.1	120026	0.0399957	1
207358	612412	1552.03	868.884	80.6816	80681.6	217.818	10632	9923.21	119079	0.0401544	1
196278	265434	3967.36	600.274	99.1567	99156.7	246.644	9376.06	8750.99	105012	0.0427249	1
216009	112441	7806.73	454.807	137.331	137331	284.298	7999.48	7466.18	89594.2	0.0460977	1
180382	5144.81	19357.3	54.3034	339.434	339434	286.225	4643.11	4333.57	52002.8	0.0582131	1
198508	64382.9	10456.6	354.522	174.546	174546	298.715	7147.02	6670.55	80046.6	0.0485586	1
210767	93029	8692.86	420.33	148.536	148536	290.368	7713.16	7198.95	86387.4	0.0468884	1
187833	315685	3291	632.008	93.6559	93655.9	238.696	9674.78	9029.79	108358	0.0420746	1
195921	267168	3940.69	601.373	98.9345	98934.5	246.335	9387.31	8761.49	105138	0.0426999	1
222828	684742	1373.85	935.288	79.4454	79445.4	215.72	10753.4	10036.5	120438	0.0399272	1
209476	89367.6	8882.68	413.053	151.089	151089	291.511	7652.16	7142.02	85704.2	0.0470614	1
187747	41915.4	12497.6	280.634	211.059	211059	302.023	6492.66	6059.82	72717.8	0.0506878	1
214006	186495	5499.22	543.347	112.756	112756	263.504	8782.22	8196.74	98360.9	0.0440993	1
226694	700952	1339	950.281	79.2058	79205.8	215.312	10777.8	10059.3	120711	0.0398819	1
211064	93913	8648.26	422.046	147.944	147944	290.091	7727.51	7212.34	86548.1	0.046848	1
193187	53787.1	11325.4	323.2	189.301	189301	300.925	6867.77	6409.92	76919	0.0494394	1
199372	567993	1685.63	828.861	81.6204	81620.4	219.404	10544.7	9841.7	118100	0.04032	1
196483	264445	3982.67	599.647	99.2844	99284.4	246.821	9369.62	8744.97	104940	0.0427392	1
194929	539552	1784.22	803.727	82.3196	82319.6	220.58	10482.1	9783.29	117399	0.0404398	1
210429	203567	5108.11	557.538	109.115	109115	259.386	8925.61	8330.57	99966.9	0.043757	1
207228	611737	1553.9	868.27	80.6947	80694.7	217.841	10630.8	9922.05	119065	0.0401567	1
195167	57730.1	10984.4	335.458	183.36	183360	300.206	6977.37	6512.22	78146.6	0.0490889	1
214973	107666	8008.27	446.909	139.78	139780	285.782	7934.04	7405.11	88861.3	0.0462754	1
184515	5592.51	18839.1	57.5274	331.481	331481	287.795	4753.46	4436.56	53238.7	0.0576869	1
195448	58285.5	10938.1	337.124	182.568	182568	300.093	6992.25	6526.1	78313.2	0.0490418	1
191590	515243	1878.43	782.642	82.9927	82992.7	221.707	10423.7	9728.78	116745	0.0405524	1
178814	4995.07	19552.7	53.2216	342.329	342329	285.637	4602.75	4295.9	51550.7	0.0584085	1
199437	568385	1684.35	829.211	81.6114	81611.4	219.389	10545.5	9842.46	118110	0.0403184	1
174922	4659.22	20037.5	50.7823	349.275	349275	284.194	4505.38	4205.02	50460.3	0.0588863	1
210946	201241	5159.17	555.693	109.583	109583	259.932	8906.63	8312.85	99754.3	0.0438019	1
197709	557751	1719.82	819.759	81.8623	81862.3	219.812	10522.8	9821.28	117855	0.0403618	1
218850	143652	6681.11	498.861	124.611	124611	274.973	8371.29	7813.21	93758.5	0.04512	1
210831	201761	5147.7	556.108	109.478	109478	259.81	8910.89	8316.83	99801.9	0.0437918	1
200951	244129	4316.8	586.521	102.11	102110	250.65	9232.02	8616.55	103399	0.043048	1
202254	72136	9907	374.615	165.878	165878	296.668	7323.49	6835.26	82023.1	0.048022	1
219650	670940	1404.82	922.543	79.659	79659	216.083	10731.8	10016.4	120197	0.0399673	1
213438	189406	5429.76	545.881	112.1	112100	262.783	8807.36	8220.21	98642.5	0.0440388	1
193525	529723	1821.11	795.154	82.5826	82582.6	221.021	10459.1	9761.79	117142	0.0404841	1
186611	326153	3172.68	638.767	92.7212	92721.2	237.285	9730.23	9081.55	108979	0.0419567	1
187276	476723	2050.7	750.164	84.236	84236	223.776	10320.2	9632.19	115586	0.0407541	1
183653	366232	2779.14	665.707	89.668	89668	232.562	9922.89	9261.37	111136	0.0415538	1
176343	4776.56	19860.3	51.6371	346.776	346776	284.719	4540.51	4237.81	50853.7	0.0587129	1
209327	88960	8904.34	412.226	151.384	151384	291.637	7645.21	7135.53	85626.3	0.0470812	1
178929	5005.74	19538.4	53.2988	342.118	342118	285.68	4605.68	4298.64	51583.6	0.0583942	1
208213	86011	9064.35	406.133	153.586	153586	292.551	7593.84	7087.58	85051	0.0472283	1
189322	496415	1958.76	766.611	83.5705	83570.5	222.671	10374.9	9683.25	116199	0.0406472	1
216319	114043	7741.19	457.379	136.546	136546	283.803	8020.81	7486.09	89833.1	0.0460401	1
204099	230662	4559.99	577.437	104.215	104215	253.387	9135.18	8526.17	102314	0.0432688	1
194019	15340.4	15657.4	130.978	274.484	274484	297.193	5541.11	5171.7	62060.4	0.0542404	1
200084	247929	4251.41	589.018	101.552	101552	249.906	9258.51	8641.28	103695	0.0429881	1
220557	674926	1395.75	926.222	79.5964	79596.4	215.976	10738.1	10022.3	120267	0.0399556	1
194704	56811.6	11061.8	332.672	184.693	184693	300.386	6952.48	6488.98	77867.7	0.049168	1
206652	82108.2	9285.59	397.766	156.699	156699	293.745	7522.84	7021.32	84255.9	0.0474335	1
193586	279078	3764.42	608.879	97.4772	97477.2	244.284	9462.7	8831.85	105982	0.0425336	1
204180	76351.7	9633.67	384.736	161.76	161760	295.461	7411.18	6917.1	83005.3	0.0477608	1
