"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).PM0_5"
209111	88466.9	8929.96	411.185	152.676	152676	292.836	7664.45	7153.49	85841.9	0.0471677	72000
194671	535283	1804.15	800.677	76.0277	76027.7	195.477	9268.13	8650.25	103803	0.0392348	72000
200203	570813	1680.34	832.054	75.1317	75131.7	193.709	9315.43	8694.4	104333	0.0390342	72000
203185	588030	1626.38	847.49	74.7442	74744.2	192.944	9336.7	8714.26	104571	0.0389445	72000
207559	84509.5	9146.7	402.889	156.641	156641	294.987	7618.62	7110.71	85328.6	0.0474297	72000
206423	222567	4720.5	572.261	99.8645	99864.5	238.743	8488.59	7922.68	95072.2	0.0428038	72000
213036	638845	1485.56	893.686	73.7418	73741.8	190.967	9394.31	8768.02	105216	0.0387035	72000
209450	89371	8881.92	413.032	151.822	151822	292.347	7674.49	7162.85	85954.3	0.0471106	72000
209291	620430	1533.73	876.853	74.0832	74083.2	191.64	9374.25	8749.3	104992	0.0387871	72000
208760	617738	1541.03	874.4	74.1351	74135.1	191.742	9371.25	8746.5	104958	0.0387997	72000
203674	590756	1618.16	849.946	74.6853	74685.3	192.828	9339.99	8717.32	104608	0.0389307	72000
175940	4755.33	19878.2	51.4504	457.061	457061	288.069	4591.17	4285.09	51421.1	0.0696004	72000
196031	59990.2	10790.5	341.864	194.292	194292	307.864	7231.18	6749.11	80989.3	0.04973	72000
187172	471632	2080.44	746.656	78.0603	78060.3	199.479	9169.42	8558.12	102697	0.0396591	72000
194009	15058.8	15673.1	128.71	372.164	372164	304.668	5676.8	5298.35	63580.2	0.0605677	72000
168116	4172.03	20863.3	47.1636	467.595	467595	284.695	4393.22	4100.34	49204.1	0.0713488	72000
224495	690224	1365.12	941.01	72.8951	72895.1	189.299	9446.15	8816.41	105797	0.0384888	72000
196680	548843	1754.75	812.568	75.669	75669	194.77	9286.75	8667.64	104012	0.0391556	72000
176667	4817.31	19787.2	51.9003	455.966	455966	288.392	4610.39	4303.03	51636.3	0.069432	72000
218409	663759	1424.81	916.582	73.3134	73313.4	190.122	9420.14	8792.13	105506	0.0385962	72000
206370	222789	4716.14	572.42	99.8243	99824.3	238.679	8489.5	7923.53	95082.4	0.0427994	72000
210521	626584	1517.3	882.468	73.9666	73966.6	191.41	9381.05	8755.65	105068	0.0387588	72000
191782	51640.9	11509.2	315.837	216.016	216016	311.159	7033.03	6564.16	78770	0.0509669	72000
199782	251112	4203.14	591.651	95.2012	95201.2	231.116	8599.51	8026.21	96314.6	0.0422645	72000
188523	313484	3322.23	631.233	87.7406	87740.6	217.954	8807.17	8220.03	98640.3	0.0412835	72000
179383	5064.17	19447.2	53.6854	451.668	451668	289.615	4683.67	4371.43	52457.1	0.0687922	72000
203567	75301.6	9696.76	382.116	167.629	167629	300.018	7497.59	6997.75	83973.1	0.0481317	72000
170362	4325.81	20579	48.3053	464.786	464786	285.646	4448.5	4151.94	49823.2	0.0708581	72000
194538	57078.1	11030	333.178	201.134	201134	309.139	7167.35	6689.53	80274.3	0.050124	72000
208144	85970.6	9065.41	405.993	155.131	155131	294.191	7635.92	7126.86	85522.3	0.0473306	72000
188774	45299.5	12126.1	293.408	237.467	237467	312.685	6847.34	6390.85	76690.2	0.0521639	72000
172735	4499.45	20280.1	49.5835	461.638	461638	286.665	4508.22	4207.67	50492.1	0.0703301	72000
196888	12539	16000.3	109.51	382.048	382048	303.318	5576.58	5204.8	62457.7	0.0613552	72000
183272	5469.69	18957.9	56.6032	444.862	444862	291.423	4793.36	4473.8	53685.6	0.0678418	72000
170104	4307.7	20611.5	48.1714	465.116	465116	285.536	4442.11	4145.97	49751.7	0.0709148	72000
189432	46753.9	11978.8	298.79	232.123	232123	312.431	6892.93	6433.4	77200.8	0.0518666	72000
191126	508656	1910.02	777.685	76.8012	76801.2	197.002	9229.25	8613.97	103368	0.039401	72000
205691	601734	1585.87	859.864	74.4545	74454.5	192.372	9352.96	8729.43	104753	0.0388762	72000
176000	4760.39	19870.7	51.4872	456.972	456972	288.095	4592.75	4286.57	51438.8	0.0695866	72000
194796	57581.9	10987.7	334.709	199.899	199899	308.926	7178.77	6700.18	80402.2	0.0500532	72000
192584	53240.7	11363.7	321.103	211.327	211327	310.622	7074.76	6603.11	79237.4	0.050703	72000
189009	45824.7	12072.5	295.37	235.507	235507	312.6	6864.02	6406.42	76877	0.0520549	72000
197598	11745.4	16125.1	103.411	385.642	385642	302.8	5539.07	5169.8	62037.6	0.0616526	72000
214714	184681	5548	542.156	107.863	107863	250.668	8321.82	7767.03	93204.3	0.0436355	72000
197994	557276	1725.4	820.017	75.4567	75456.7	194.351	9297.97	8678.11	104137	0.039108	72000
199230	66294	10309	359.441	181.674	181674	304.799	7353.26	6863.05	82356.5	0.0489885	72000
208492	616371	1544.76	873.155	74.1616	74161.6	191.795	9369.71	8745.07	104941	0.0388061	72000
216737	172572	5853.23	530.857	111.013	111013	254.957	8262.5	7711.67	92540	0.0439374	72000
174830	4663.61	20017.3	50.7831	458.692	458692	287.579	4562.11	4257.97	51095.7	0.0698555	72000
174406	4629.52	20070.4	50.5346	459.301	459301	287.393	4551.12	4247.71	50972.6	0.0699522	72000
182576	5391.78	19045.8	56.0434	446.143	446143	291.094	4773.27	4455.05	53460.6	0.0680152	72000
214045	103651	8186.76	440.061	140.395	140395	284.828	7815.43	7294.4	87532.8	0.0463195	72000
171802	4429.71	20397.5	49.0714	462.899	462899	286.262	4484.58	4185.61	50227.3	0.0705389	72000
207517	611352	1558.62	868.589	74.2602	74260.2	191.989	9364.04	8739.77	104877	0.0388298	72000
188624	486595	2007.95	759.051	77.5227	77522.7	198.422	9194.47	8581.51	102978	0.0395506	72000
204695	77789	9541.31	387.946	164.38	164380	298.663	7532.55	7030.38	84364.5	0.0479275	72000
217187	118169	7579.48	463.992	131.617	131617	277.658	7933.68	7404.77	88857.2	0.0456708	72000
202866	586236	1631.84	845.875	74.7833	74783.3	193.021	9334.53	8712.23	104547	0.0389537	72000
185260	447031	2211.83	726.76	79.0426	79042.6	201.403	9125.39	8517.03	102204	0.0398508	72000
201712	71356.4	9954.9	372.503	173.298	173298	302.147	7438.1	6942.23	83306.7	0.0484823	72000
227957	704571	1334.59	954.283	72.6821	72682.1	188.88	9459.7	8829.06	105949	0.038433	72000
202192	582417	1643.58	842.443	74.8675	74867.5	193.188	9329.88	8707.88	104495	0.0389733	72000
205500	600713	1588.82	858.939	74.4755	74475.5	192.414	9351.77	8728.32	104740	0.0388812	72000
208214	614947	1548.67	871.859	74.1894	74189.4	191.849	9368.11	8743.57	104923	0.0388128	72000
216652	655788	1443.73	909.243	73.4466	73446.6	190.385	9412.03	8784.56	105415	0.0386299	72000
203535	234793	4488.85	580.795	97.7478	97747.8	235.341	8537.47	7968.3	95619.6	0.0425648	72000
182979	5436.51	18995	56.3648	445.406	445406	291.284	4784.86	4465.87	53590.4	0.0679151	72000
188898	45577	12097.7	294.447	236.427	236427	312.641	6856.18	6399.1	76789.2	0.0521061	72000
222896	683432	1380	934.733	72.9992	72999.2	189.504	9439.61	8810.3	105724	0.0385158	72000
214779	106481	8061.4	444.985	138.499	138499	283.391	7840.14	7317.46	87809.5	0.0461828	72000
218998	666396	1418.65	919.011	73.2702	73270.2	190.037	9422.8	8794.61	105535	0.0385852	72000
193546	281532	3735.05	611.021	91.1682	91168.2	224.139	8706.31	8125.89	97510.6	0.0417554	72000
220194	671699	1406.41	923.902	73.1842	73184.2	189.868	9428.09	8799.55	105595	0.0385633	72000
210901	628466	1512.34	884.188	73.9314	73931.4	191.341	9383.11	8757.57	105091	0.0387502	72000
199762	67361.9	10232	362.269	179.791	179791	304.25	7372.04	6880.57	82566.9	0.0488758	72000
220352	672392	1404.83	924.541	73.1731	73173.1	189.846	9428.78	8800.2	105602	0.0385605	72000
185044	34091	13377.9	245.892	286.74	286740	312.32	6436.29	6007.21	72086.5	0.054946	72000
213831	642637	1476	897.163	73.6742	73674.2	190.833	9398.33	8771.78	105261	0.0386868	72000
214180	104154	8164.17	440.947	140.05	140050	284.571	7819.89	7298.57	87582.8	0.0462948	72000
228675	707487	1328.53	956.982	72.6399	72639.9	188.797	9462.42	8831.59	105979	0.0384218	72000
200094	249724	4226.45	590.745	95.4064	95406.4	231.462	8594.37	8021.41	96257	0.0422892	72000
194351	14775	15707	126.569	373.217	373217	304.529	5666.31	5288.56	63462.7	0.0606497	72000
193256	525136	1843.04	791.857	76.311	76311	196.036	9253.69	8636.77	103641	0.0392964	72000
205280	227398	4627.08	575.683	99.0051	99005.1	237.374	8508.16	7940.95	95291.4	0.0427079	72000
217353	168112	5971.48	526.43	112.266	112266	256.6	8239.73	7690.42	92285	0.0440542	72000
206289	81448	9322.09	396.222	159.994	159994	296.661	7580.81	7075.42	84905.1	0.0476474	72000
