"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
216137	652006	1455.71	906.314	68.0652	68065.2	169.004	8343.19	7786.98	93443.8	0.0369817	0.11
207705	610715	1563.5	868.581	68.6966	68696.6	170.077	8290.57	7737.86	92854.4	0.0372152	0.11
189588	492397	1985.36	764.561	71.2541	71254.1	174.574	8109.78	7569.13	90829.5	0.038038	0.11
178841	5005.91	19530.5	53.2807	388.078	388078	287.693	4639.37	4330.07	51960.9	0.0618577	0.11
181903	5309.6	19148.4	55.4712	378.987	378987	288.86	4719.78	4405.13	52861.5	0.0611068	0.11
219328	666508	1421.14	919.655	67.865	67865	168.667	8360.73	7803.35	93640.2	0.0369045	0.11
190615	47248.9	11963.3	301.525	171.656	171656	285.112	6295.18	5875.5	70506	0.0483815	0.11
223957	686654	1375.54	938.24	67.6026	67602.6	168.23	8384.38	7825.42	93905.1	0.0368009	0.11
211805	631391	1507.66	887.421	68.3683	68368.3	169.516	8317.45	7762.95	93155.4	0.0370956	0.11
187198	39230.5	12811.8	269.906	189.209	189209	290.255	6144.77	5735.12	68821.4	0.0494339	0.11
189261	19888.6	15138.6	163.881	254.1	254100	296.815	5655.49	5278.46	63341.5	0.0530907	0.11
220097	669923	1413.22	922.801	67.8193	67819.3	168.591	8364.8	7807.14	93685.7	0.0368867	0.11
204092	591330	1619.69	851.045	69.0296	69029.6	170.65	8264.29	7713.34	92560.1	0.0373327	0.11
211629	630532	1509.91	886.635	68.3814	68381.4	169.539	8316.35	7761.93	93143.2	0.0371005	0.11
190241	498280	1958.92	769.515	71.0902	71090.2	174.28	8120.1	7578.76	90945.1	0.0379901	0.11
200690	571815	1680.5	833.543	69.3929	69392.9	171.28	8236.69	7687.57	92250.9	0.037457	0.11
201054	573977	1673.54	835.473	69.3512	69351.2	171.208	8239.8	7690.48	92285.8	0.0374429	0.11
200901	573070	1676.46	834.663	69.3687	69368.7	171.238	8238.5	7689.26	92271.2	0.0374488	0.11
207934	611906	1560.17	869.663	68.677	68677	170.043	8292.15	7739.34	92872	0.0372081	0.11
217624	114418	7747.16	459.242	115.278	115278	245.089	6923.91	6462.31	77547.8	0.0443276	0.11
188426	481174	2037.89	755.194	71.5808	71580.8	175.161	8089.62	7550.31	90603.7	0.0381318	0.11
209823	87351.3	9014.33	410.053	128.53	128530	259.015	6744.03	6294.43	75533.2	0.0454321	0.11
203636	237407	4450.67	583.491	87.9355	87935.5	204.795	7454.29	6957.34	83488	0.0413115	0.11
224583	689306	1369.73	940.69	67.5694	67569.4	168.175	8387.44	7828.28	93939.3	0.0367876	0.11
225740	694167	1359.2	945.182	67.5091	67509.1	168.075	8393.01	7833.47	94001.7	0.0367633	0.11
201310	68236.9	10199.4	365.706	143.274	143274	270.764	6572.83	6134.64	73615.7	0.0465239	0.11
209393	619381	1539.61	876.463	68.5558	68555.8	169.836	8301.97	7748.51	92982.1	0.0371644	0.11
195593	539388	1792.57	804.88	70.0697	70069.7	172.467	8187.92	7642.06	91704.7	0.0376783	0.11
218978	162441	6140.09	521.605	100.986	100986	225.962	7162.59	6685.09	80221.1	0.0429269	0.11
217837	115575	7700.52	461.074	114.829	114829	244.554	6930.58	6468.55	77622.5	0.0442874	0.11
177302	4866.82	19722.1	52.2737	392.404	392404	287.106	4599.92	4293.26	51519.1	0.0622295	0.11
200210	568946	1689.84	830.984	69.449	69449	171.378	8232.52	7683.69	92204.2	0.0374758	0.11
218677	120806	7495.73	469.12	112.883	112883	242.19	6960.02	6496.02	77952.2	0.044111	0.11
230789	714751	1316.12	964.224	67.2639	67263.9	167.672	8416.13	7855.06	94260.7	0.0366626	0.11
202859	584416	1640.72	844.825	69.1549	69154.9	170.867	8254.65	7704.34	92452.1	0.037376	0.11
176894	4831.21	19773	52.0154	393.526	393526	286.95	4589.54	4283.57	51402.9	0.0623276	0.11
204237	592133	1617.28	851.768	69.0153	69015.3	170.625	8265.4	7714.38	92572.5	0.0373277	0.11
203927	590416	1622.43	850.222	69.046	69046	170.678	8263.03	7712.16	92545.9	0.0373384	0.11
201050	67713	10236.7	364.338	143.784	143784	271.109	6567.31	6129.49	73553.9	0.0465598	0.11
177841	4914.65	19655	52.6203	390.906	390906	287.312	4613.67	4306.1	51673.1	0.0620995	0.11
199199	562790	1710.23	825.508	69.5716	69571.6	171.592	8223.49	7675.26	92103.1	0.0375166	0.11
178693	4992.25	19548.9	53.1819	388.499	388499	287.637	4635.57	4326.53	51918.4	0.0618934	0.11
181752	5293.68	19167.2	55.3566	379.451	379451	288.803	4715.75	4401.37	52816.4	0.0611442	0.11
190247	46475.3	12040.6	298.693	173.133	173133	285.634	6282.02	5863.22	70358.7	0.0484722	0.11
207756	610979	1562.76	868.821	68.6922	68692.2	170.069	8290.92	7738.19	92858.3	0.0372136	0.11
192294	50659	11634.1	313.526	165.612	165612	282.779	6350.11	5926.77	71121.3	0.0480052	0.11
207057	80582.5	9399.07	395.468	133.026	133026	262.982	6689.16	6243.22	74918.6	0.0457777	0.11
204770	595064	1608.55	854.412	68.9634	68963.4	170.536	8269.44	7718.14	92617.7	0.0373096	0.11
206846	606216	1576.19	864.499	68.7716	68771.6	170.206	8284.57	7732.26	92787.1	0.037242	0.11
174075	4598.54	20124.7	50.3209	401.004	401004	285.874	4518.91	4217.65	50611.8	0.0629998	0.11
198044	262070	4033.8	599.6	84.9374	84937.4	199.514	7538.42	7035.86	84430.3	0.0408645	0.11
208215	83327.9	9238.94	401.516	131.124	131124	261.347	6712.06	6264.59	75175	0.045633	0.11
171756	4422.48	20415	49.0293	406.808	406808	284.99	4462.09	4164.61	49975.4	0.0635458	0.11
214654	645079	1472.78	899.955	68.1645	68164.5	169.171	8334.65	7779.01	93348.1	0.0370194	0.11
171575	4409.26	20437.7	48.932	407.248	407248	284.921	4457.7	4160.52	49926.2	0.0635881	0.11
213830	193528	5349.76	550.801	94.6811	94681.1	216.143	7291.33	6805.24	81662.9	0.0422012	0.11
213447	195340	5308.06	552.312	94.3589	94358.9	215.62	7298.44	6811.88	81742.5	0.0421617	0.11
202396	581775	1648.9	842.455	69.2038	69203.8	170.952	8250.93	7700.87	92410.4	0.0373928	0.11
215339	186035	5526.97	544.351	96.0613	96061.3	218.361	7261.5	6777.4	81328.8	0.0423676	0.11
203673	589001	1626.71	848.948	69.0714	69071.4	170.722	8261.06	7710.32	92523.9	0.0373472	0.11
218897	664578	1425.65	917.878	67.891	67891	168.711	8358.42	7801.2	93614.3	0.0369147	0.11
197358	551151	1750.19	815.21	69.8127	69812.7	172.015	8206.06	7658.99	91907.8	0.0375957	0.11
201359	575767	1667.82	837.073	69.3169	69316.9	171.148	8242.38	7692.88	92314.6	0.0374313	0.11
209794	621411	1534.12	878.312	68.5235	68523.5	169.781	8304.61	7750.97	93011.7	0.0371526	0.11
191295	507261	1919.91	777.134	70.8493	70849.3	173.85	8135.55	7593.18	91118.1	0.0379187	0.11
203877	590139	1623.27	849.972	69.0509	69050.9	170.687	8262.64	7711.8	92541.6	0.0373401	0.11
169730	4278.32	20669.6	47.9639	411.639	411639	284.219	4413.31	4119.09	49429	0.064018	0.11
176691	4813.68	19798.3	51.8881	394.081	394081	286.873	4584.39	4278.77	51345.2	0.0623764	0.11
158751	3615.31	22076.3	42.9278	434.38	434380	280.079	4161.42	3884	46608	0.0665065	0.11
214696	189305	5448.69	547.205	95.4494	95449.4	217.383	7274.6	6789.62	81475.5	0.0422944	0.11
212152	633091	1503.25	888.975	68.3424	68342.4	169.473	8319.61	7764.97	93179.6	0.037086	0.11
204450	593308	1613.77	852.828	68.9944	68994.4	170.589	8267.03	7715.89	92590.7	0.0373205	0.11
213237	638335	1489.77	893.774	68.2636	68263.6	169.339	8326.23	7771.15	93253.8	0.0370567	0.11
203205	586374	1634.71	846.584	69.1191	69119.1	170.805	8257.4	7706.9	92482.8	0.0373637	0.11
199774	65175.4	10421.4	357.571	146.363	146363	272.798	6539.79	6103.81	73245.7	0.0467393	0.11
231696	718349	1308.83	967.554	67.2226	67222.6	167.604	8420.11	7858.77	94305.2	0.0366454	0.11
203284	72288.2	9920.98	375.978	139.558	139558	268.134	6613.74	6172.82	74073.9	0.0462594	0.11
179636	5081.15	19431.4	53.8243	385.779	385779	287.996	4660.01	4349.34	52192.1	0.061664	0.11
212765	636061	1495.59	891.692	68.2976	68297.6	169.396	8323.37	7768.48	93221.7	0.0370694	0.11
177240	4861.36	19729.9	52.2341	392.576	392576	287.082	4598.33	4291.78	51501.3	0.0622444	0.11
213834	641193	1482.53	896.393	68.2213	68221.3	169.267	8329.82	7774.49	93293.9	0.0370408	0.11
172282	4461.32	20349	49.3151	405.518	405518	285.19	4474.88	4176.55	50118.6	0.0634225	0.11
184649	362918	2819.69	664.843	76.6116	76611.6	184.357	7833.41	7311.18	87734.1	0.0393608	0.11
196317	544296	1774.64	809.18	69.9608	69960.8	172.275	8195.55	7649.18	91790.2	0.0376435	0.11
205505	599060	1596.8	858.022	68.8937	68893.7	170.416	8274.9	7723.24	92678.9	0.0372852	0.11
203138	585994	1635.87	846.243	69.126	69126	170.817	8256.87	7706.41	92476.9	0.0373661	0.11
221636	676675	1397.79	929.028	67.7304	67730.4	168.443	8372.77	7814.58	93775	0.0368517	0.11
182037	5323.79	19131.6	55.5734	378.575	378575	288.911	4723.35	4408.46	52901.6	0.0610737	0.11
206777	224253	4697.46	574.402	89.7472	89747.2	207.92	7407.33	6913.51	82962.1	0.0415646	0.11
211824	202740	5142.17	558.312	93.0867	93086.7	213.535	7327.12	6838.64	82063.7	0.0420031	0.11
183621	5498.87	18932.8	56.8333	373.584	373584	289.514	4766.13	4448.39	53380.7	0.0606783	0.11
184537	5606.48	18817.3	57.6072	370.605	370605	289.862	4791.26	4471.85	53662.2	0.0604473	0.11
177938	4923.32	19643	52.6831	390.635	390635	287.349	4616.15	4308.4	51700.8	0.0620762	0.11
217955	660332	1435.67	913.969	67.949	67949	168.808	8353.32	7796.43	93557.2	0.0369371	0.11
174135	4603.32	20117.1	50.3559	400.847	400847	285.897	4520.42	4219.06	50628.7	0.0629855	0.11
215978	182626	5610.18	541.305	96.7158	96715.8	219.4	7247.7	6764.52	81174.2	0.0424449	0.11
200600	66812.2	10301.4	361.962	144.679	144679	271.706	6557.7	6120.52	73446.2	0.0466224	0.11
213080	637582	1491.69	893.085	68.2749	68274.9	169.358	8325.29	7770.27	93243.2	0.0370609	0.11
213398	639108	1487.81	894.482	68.2522	68252.2	169.319	8327.2	7772.06	93264.7	0.0370524	0.11
225847	694612	1358.24	945.594	67.5036	67503.6	168.066	8393.51	7833.95	94007.4	0.036761	0.11
216418	180175	5671.09	539.069	97.1975	97197.5	220.159	7237.68	6755.17	81062	0.0425012	0.11
192997	520710	1864.4	788.66	70.5082	70508.2	173.243	8158	7614.14	91369.6	0.0378153	0.11
193463	524203	1850.52	791.675	70.4232	70423.2	173.092	8163.71	7619.46	91433.5	0.0377891	0.11
201540	68700.1	10166.7	366.908	142.828	142828	270.46	6577.66	6139.15	73669.8	0.0464926	0.11
215373	104428	8172.61	442.574	119.493	119493	249.898	6863.32	6405.76	76869.2	0.0446949	0.11
227213	700272	1346.17	950.828	67.4347	67434.7	167.953	8399.94	7839.94	94079.3	0.036733	0.11
168379	4186.59	20840.3	47.2816	414.744	414744	283.705	4381.19	4089.11	49069.3	0.0643307	0.11
199264	563186	1708.9	825.86	69.5636	69563.6	171.578	8224.08	7675.81	92109.7	0.037514	0.11
194610	532530	1818.27	798.898	70.2262	70226.2	172.743	8177.1	7631.96	91583.5	0.0377277	0.11
188340	42194.5	12485.9	282.213	182.108	182108	288.437	6204.16	5790.55	69486.5	0.0490144	0.11
220102	669946	1413.16	922.823	67.8189	67818.9	168.59	8364.82	7807.17	93686	0.0368866	0.11
177393	4874.8	19710.8	52.3316	392.153	392153	287.141	4602.23	4295.41	51544.9	0.0622076	0.11
201615	68852.3	10156	367.302	142.683	142683	270.36	6579.24	6140.62	73687.5	0.0464823	0.11
203127	239562	4411.93	584.939	87.6537	87653.7	204.304	7461.84	6964.38	83572.6	0.041271	0.11
210039	210514	4975.24	564.336	91.8214	91821.4	211.431	7356.62	6866.18	82394.2	0.0418409	0.11
187298	469003	2098.14	745.169	71.9575	71957.5	175.84	8067.04	7529.24	90350.9	0.0382373	0.11
202048	244176	4330.52	588.009	87.0636	87063.6	203.273	7477.87	6979.35	83752.2	0.0411853	0.11
183723	5510.54	18920	56.9172	373.257	373257	289.552	4768.9	4450.97	53411.7	0.0606528	0.11
195014	276945	3808.69	609.004	83.349	83349	196.668	7586.81	7081.02	84972.2	0.0406111	0.11
206282	78804.9	9505.93	391.451	134.32	134320	264.059	6673.83	6228.91	74746.9	0.045875	0.11
