"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).PM0_5"
209111	81844.5	9358.69	399.819	108.356	108356	217.337	5541.56	5172.12	62065.5	0.0436835	48000
194671	530370	1830.66	797.703	63.5498	63549.8	147.751	6984.22	6518.61	78223.3	0.0346187	48000
200203	566815	1700.56	829.732	63.0342	63034.2	147.297	7067	6595.86	79150.4	0.0341995	48000
203185	584346	1644.47	845.391	62.8219	62821.9	147.139	7105.26	6631.58	79578.9	0.0340089	48000
207559	78243.2	9575.79	391.724	109.961	109961	219.366	5521.31	5153.22	61838.7	0.043838	48000
206423	602205	1591.05	861.478	62.6257	62625.7	147.012	7143.28	6667.06	80004.7	0.0338215	48000
213036	635815	1499.29	892.049	62.3034	62303.4	146.85	7212.41	6731.58	80779	0.0334856	48000
209450	82659.3	9311.01	401.605	108.007	108007	216.889	5546.03	5176.3	62115.6	0.0436495	48000
209291	617199	1548.79	875.074	62.4749	62474.9	146.928	7174.49	6696.19	80354.3	0.033669	48000
208760	614475	1556.3	872.599	62.5014	62501.4	146.942	7168.87	6690.94	80291.3	0.0336964	48000
203674	587116	1635.95	847.878	62.7902	62790.2	147.117	7111.22	6637.14	79645.7	0.0339794	48000
175940	4716.47	19978.4	51.267	266.274	266274	277.256	4404.07	4110.46	49325.5	0.0537745	48000
196031	54885.4	11300.5	329.003	123.833	123833	234.782	5365.31	5007.62	60091.5	0.0450567	48000
187172	462561	2136.61	740.683	64.8698	64869.8	149.23	6817.35	6362.86	76354.3	0.035493	48000
194009	50933.7	11660.9	316.023	127.034	127034	237.822	5333.17	4977.62	59731.5	0.0453143	48000
168116	4151.35	20936.4	47.0759	291.662	291662	276.938	4263.54	3979.3	47751.6	0.0552334	48000
224495	687620	1376.09	939.671	61.9024	61902.4	146.754	7313.53	6825.96	81911.6	0.0330055	48000
196680	544334	1778.47	809.882	63.3392	63339.2	147.554	7016.47	6548.71	78584.5	0.0344542	48000
176667	4776	19890.4	51.7033	263.969	263969	277.243	4416.82	4122.37	49468.4	0.0536444	48000
218409	660957	1437.06	915.105	62.0961	62096.1	146.783	7262.24	6778.09	81337.1	0.0332474	48000
206370	601923	1591.86	861.223	62.6286	62628.6	147.014	7142.69	6666.51	79998.1	0.0338244	48000
210521	623424	1531.89	880.74	62.4157	62415.7	146.899	7187.27	6708.12	80497.5	0.033607	48000
191782	46392.3	12105.1	299.914	131.154	131154	241.471	5293.48	4940.58	59286.9	0.0456354	48000
199782	62133.4	10697	350.727	118.729	118729	229.542	5419.25	5057.97	60695.6	0.0446295	48000
188523	23075.5	14831.4	186.041	162.13	162130	260.961	5038.1	4702.22	56426.7	0.0477845	48000
179383	5011.89	19562.5	53.4261	255.462	255462	277.12	4464.01	4166.41	49996.9	0.0531668	48000
203567	69672.6	10138.7	370.992	114.257	114257	224.542	5469.64	5105	61260	0.044236	48000
170362	4301.14	20659	48.1975	284.293	284293	277.111	4304.42	4017.46	48209.6	0.054804	48000
194538	51977.1	11563.4	319.538	126.157	126157	237.007	5341.86	4985.74	59828.8	0.0452444	48000
208144	79579.3	9494.01	394.767	109.353	109353	218.604	5528.92	5160.32	61923.8	0.0437799	48000
188774	39279.1	12868.4	271.545	138.745	138745	247.464	5224.6	4876.3	58515.6	0.0462007	48000
172735	4469.62	20368.1	49.4489	276.565	276565	277.225	4347.18	4057.37	48688.4	0.0543592	48000
196888	56540	11156.4	334.184	122.587	122587	233.547	5378.16	5019.62	60235.4	0.0449544	48000
183272	5394.91	19093.6	56.2097	243.6	243600	276.737	4530.29	4228.27	50739.2	0.0525051	48000
170104	4283.53	20690.7	48.0661	285.135	285135	277.094	4299.76	4013.11	48157.3	0.0548527	48000
189432	41021.8	12673.7	278.898	136.743	136743	245.971	5242.28	4892.8	58713.6	0.0460546	48000
191126	502640	1944.27	773.92	64.0239	64023.9	148.239	6918.09	6456.89	77482.6	0.0349604	48000
205691	598260	1602.54	857.914	62.6674	62667.4	147.037	7134.96	6659.3	79911.6	0.0338623	48000
176000	4721.34	19971.1	51.3027	266.083	266083	277.255	4405.12	4111.45	49337.4	0.0537637	48000
194796	52483.5	11516.7	321.22	125.739	125739	236.615	5346.02	4989.62	59875.5	0.045211	48000
192584	48063.2	11937.8	306.002	129.579	129579	240.111	5308.44	4954.55	59454.6	0.0455139	48000
189009	39920.9	12796.1	274.287	137.996	137996	246.913	5231.18	4882.43	58589.2	0.0461463	48000
197598	57908	11040.2	338.364	121.594	121594	232.543	5388.54	5029.3	60351.6	0.044872	48000
214714	97098.3	8542.31	430.783	102.543	102543	209.559	5619.89	5245.23	62942.7	0.043094	48000
197994	552981	1747.65	817.484	63.2172	63217.2	147.447	7036.1	6567.03	78804.4	0.0343548	48000
199230	61060.2	10782	347.662	119.43	119430	230.29	5411.63	5050.86	60610.3	0.0446895	48000
208492	613091	1560.14	871.342	62.515	62515	146.949	7166	6688.27	80259.2	0.0337104	48000
216737	653308	1455.47	908.077	62.1565	62156.5	146.799	7247.24	6764.09	81169.1	0.0333187	48000
174830	4628.19	20113	50.6186	269.817	269817	277.262	4384.47	4092.17	49106.1	0.053975	48000
174406	4595.32	20164.5	50.3767	271.175	271175	277.259	4376.97	4085.17	49022	0.054052	48000
182576	5321.8	19177.6	55.6791	245.694	245694	276.824	4518.54	4217.3	50607.6	0.0526217	48000
214045	95011	8645.36	426.831	103.258	103258	210.553	5609.78	5235.79	62829.5	0.0431694	48000
171802	4402.05	20482.2	48.9481	279.594	279594	277.189	4330.43	4041.73	48500.8	0.0545329	48000
207517	608008	1574.42	866.731	62.5659	62565.9	146.977	7155.43	6678.41	80140.9	0.0337619	48000
188624	321945	3239.89	638.465	70.3837	70383.7	157.465	6414.42	5986.79	71841.5	0.0377769	48000
204695	72011.9	9978.1	376.872	113.011	113011	223.078	5484.28	5118.66	61423.9	0.0441227	48000
217187	105920	8132.14	446.616	99.7415	99741.5	205.573	5660.91	5283.52	63402.2	0.0427902	48000
202866	582522	1650.13	843.755	62.843	62843	147.154	7101.32	6627.9	79534.8	0.0340284	48000
185260	432487	2308.09	716.806	65.6625	65662.5	150.263	6737.59	6288.41	75461	0.0359253	48000
201712	65927.9	10407.9	361.191	116.385	116385	226.97	5445.26	5082.24	60986.9	0.0444257	48000
227957	702060	1344.97	953.009	61.8072	61807.2	146.753	7340.71	6851.33	82215.9	0.0328787	48000
