"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).n_5"
195477	55860.3	11182.3	331.009	143.931	143931	264.339	6078.82	5673.57	68082.8	0.0465701	3
189187	485869	2019.04	759.637	66.2913	66291.3	155.637	7202.99	6722.79	80673.5	0.0362334	3
171946	4438.77	20384.1	49.1425	436.727	436727	285.821	4479.63	4180.99	50171.9	0.0667933	3
194205	53426.9	11396.3	323.243	147.018	147018	266.477	6058.87	5654.94	67859.3	0.0467844	3
194018	53068.1	11428.6	322.07	147.495	147495	266.796	6055.82	5652.1	67825.2	0.0468172	3
224013	685794	1379.66	937.894	62.9114	62911.4	150.411	7492.59	6993.08	83917	0.0340907	3
200111	566725	1700.02	829.507	64.524	64524	152.724	7327.84	6839.31	82071.8	0.0352856	3
228455	704301	1339.84	954.994	62.7269	62726.9	150.183	7516.91	7015.78	84189.4	0.0339196	3
230991	714524	1318.68	964.45	62.6306	62630.6	150.069	7530.25	7028.23	84338.7	0.0338263	3
174390	4626.14	20078	50.5155	429.619	429619	286.78	4540.26	4237.58	50850.9	0.0659438	3
180472	5166.55	19319.5	54.4325	409.103	409103	289.149	4696.66	4383.55	52602.6	0.063768	3
193034	51160.9	11603.4	315.715	150.135	150135	268.504	6039.17	5636.56	67638.7	0.0469971	3
203445	240280	4405.46	586.049	81.4455	81445.5	183.81	6717.16	6269.35	75232.2	0.0402895	3
197526	266668	3968.13	603.146	78.5117	78511.7	178.314	6778.03	6326.16	75913.9	0.0397482	3
228629	705009	1338.35	955.649	62.7201	62720.1	150.175	7517.83	7016.65	84199.7	0.0339131	3
207078	606053	1579.3	864.835	63.8928	63892.8	151.763	7384.24	6891.96	82703.5	0.0348695	3
181694	5291.49	19166.9	55.3327	404.432	404432	289.619	4729.14	4413.86	52966.3	0.0633197	3
218298	114690	7746.78	460.309	106.666	106666	225.654	6375.03	5950.03	71400.3	0.0435173	3
214080	641127	1485.15	896.799	63.4191	63419.1	151.085	7432.73	6937.22	83246.6	0.0345176	3
196527	57861.9	11012.5	337.169	141.572	141572	262.614	6094.4	5688.1	68257.2	0.0464035	3
203817	588323	1631.51	848.829	64.1628	64162.8	152.167	7359.11	6868.5	82422	0.035054	3
207572	223063	4727.33	574.186	83.6455	83645.5	187.88	6676.21	6231.13	74773.5	0.0406593	3
190362	496828	1968.76	768.822	66.0048	66004.8	155.148	7220.73	6739.35	80872.2	0.0360964	3
204361	591355	1622.34	851.557	64.115	64115	152.095	7363.44	6872.54	82470.5	0.0350221	3
223815	684951	1381.52	937.116	62.9202	62920.2	150.422	7491.48	6992.04	83904.5	0.0340986	3
217720	658090	1443.38	912.367	63.215	63215	150.806	7455.68	6958.64	83503.7	0.034353	3
207237	606893	1576.91	865.596	63.8805	63880.5	151.745	7385.42	6893.06	82716.7	0.0348609	3
200179	64882.3	10458.4	357.34	134.367	134367	256.816	6143.91	5734.32	68811.8	0.0458785	3
217196	655691	1449.15	910.161	63.243	63243	150.844	7452.46	6955.62	83467.5	0.0343761	3
186129	449972	2203.69	730.343	67.3633	67363.3	157.506	7142.8	6666.61	79999.4	0.0367038	3
197727	551784	1750.95	816.275	64.7973	64797.3	153.156	7305.75	6818.7	81824.4	0.0354506	3
