"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
196562	545709	1769.9	810.482	69.3374	69337.4	169.949	8089.27	7549.99	90599.9	0.0374382	0.1
162886	3844.74	21541.5	44.7022	423.081	423081	281.548	4252.6	3969.1	47629.2	0.0652097	0.1
188517	481745	2035.57	755.733	70.949	70949	172.794	7982.36	7450.2	89402.4	0.0379484	0.1
183400	5472.44	18962.7	56.6453	369.065	369065	289.212	4756.18	4439.1	53269.3	0.0603292	0.1
205771	600323	1593.45	859.222	68.2952	68295.2	168.156	8168.38	7623.82	91485.8	0.0370685	0.1
165994	4032.25	21143.8	46.1255	416.382	416382	282.709	4323.76	4035.51	48426.1	0.0644988	0.1
220390	671082	1410.82	923.924	67.245	67245	166.402	8258.53	7707.96	92495.5	0.0366548	0.1
236344	736229	1273.81	984.16	66.4794	66479.4	165.167	8332.69	7777.18	93326.1	0.0363206	0.1
200111	568159	1692.76	830.343	68.8787	68878.7	169.155	8122.97	7581.44	90977.3	0.0372799	0.1
212034	202133	5156.47	557.916	92.2882	92288.2	210.942	7229.57	6747.6	80971.2	0.0419013	0.1
188528	481849	2035.07	755.82	70.9459	70945.9	172.788	7982.55	7450.38	89404.6	0.0379475	0.1
204569	593790	1612.66	853.321	68.4074	68407.4	168.347	8159.41	7615.45	91385.4	0.0371101	0.1
201464	576197	1666.79	837.518	68.7253	68725.3	168.891	8134.62	7592.31	91107.8	0.0372255	0.1
192067	50033	11696.1	311.466	163.654	163654	280.721	6283.7	5864.79	70377.4	0.0478815	0.1
214706	101638	8301.14	437.727	119.318	119318	248.424	6766.05	6314.98	75779.8	0.0446799	0.1
205092	596647	1604.2	855.9	68.358	68358	168.263	8163.34	7619.12	91429.5	0.0370918	0.1
215755	105545	8124.58	444.613	117.561	117561	246.458	6790.13	6337.45	76049.4	0.0445286	0.1
167830	4150.03	20910.6	47.0095	412.204	412204	283.397	4366.57	4075.46	48905.6	0.0640743	0.1
185050	5667.64	18754.6	58.0495	363.517	363517	289.818	4801.15	4481.07	53772.9	0.0599113	0.1
189284	44196.1	12277	290.177	174.274	174274	284.815	6190.03	5777.36	69328.3	0.048542	0.1
200548	66522.6	10324.9	361.288	142.767	142767	269.157	6487.56	6055.06	72660.7	0.0464882	0.1
184738	5629.44	18794.1	57.7747	364.584	364584	289.704	4792.57	4473.07	53676.8	0.0599908	0.1
201687	68807.5	10161.6	367.282	140.598	140598	267.627	6510.66	6076.62	72919.4	0.0463341	0.1
170836	4355.62	20531.6	48.5372	404.993	404993	284.524	4437.89	4142.03	49704.3	0.0633727	0.1
215246	103595	8211.8	441.208	118.424	118424	247.432	6778.23	6326.35	75916.1	0.0446033	0.1
186455	36680.6	13106.4	258.715	191.749	191749	289.653	6046.08	5643.01	67716.1	0.0495823	0.1
196208	543344	1778.45	808.406	69.3885	69388.5	170.038	8085.62	7546.58	90558.9	0.0374555	0.1
211807	631249	1508.34	887.348	67.8019	67801.9	167.324	8209.25	7661.97	91943.6	0.0368799	0.1
203173	586013	1636.14	846.319	68.5451	68545.1	168.582	8148.57	7605.33	91264	0.0371605	0.1
192019	512853	1896.82	781.972	70.1014	70101.4	171.289	8036.54	7500.77	90009.2	0.0376884	0.1
219962	669186	1415.2	922.177	67.2698	67269.8	166.442	8256.26	7705.84	92470.1	0.0366651	0.1
204356	74357.4	9787.34	381.121	135.838	135838	264.016	6562.98	6125.44	73505.3	0.0459879	0.1
190331	498765	1957.18	769.989	70.4687	70468.7	171.938	8012.55	7478.38	89740.5	0.0378031	0.1
189206	44019.4	12295.5	289.494	174.632	174632	284.936	6186.97	5774.5	69294	0.0485638	0.1
200998	67421.2	10260	363.667	141.898	141898	268.552	6496.77	6063.65	72763.8	0.0464267	0.1
184361	420299	2380.18	706.674	73.1021	73102.1	176.681	7860.99	7336.92	88043.1	0.0385423	0.1
208576	615055	1551.76	872.583	68.0527	68052.7	167.746	8188.16	7642.28	91707.4	0.036977	0.1
182738	5398.56	19045.7	56.1137	371.227	371227	288.968	4738.41	4422.52	53070.2	0.0604952	0.1
229007	707467	1331.35	957.536	66.7984	66798.4	165.676	8300.8	7747.41	92968.9	0.0364636	0.1
175937	4749.22	19893.6	51.421	391.612	391612	286.438	4562.83	4258.64	51103.6	0.0621606	0.1
192534	516898	1880.19	785.442	70.0007	70000.7	171.111	8043.27	7507.05	90084.6	0.0376563	0.1
172119	4448.9	20370.5	49.2248	401.766	401766	285.006	4468.85	4170.92	50051.1	0.0630703	0.1
191315	507145	1920.8	777.099	70.2471	70247.1	171.546	8026.92	7491.8	89901.6	0.0377343	0.1
203147	585869	1636.58	846.189	68.5477	68547.7	168.586	8148.36	7605.14	91261.7	0.0371614	0.1
196310	544031	1775.96	809.008	69.3736	69373.6	170.012	8086.68	7547.57	90570.8	0.0374505	0.1
168798	4214.38	20788.3	47.4896	409.934	409934	283.759	4389.35	4096.73	49160.7	0.0638494	0.1
216293	107730	8028.93	448.353	116.625	116625	245.384	6803.2	6349.65	76195.8	0.0444468	0.1
205385	598238	1599.53	857.337	68.3307	68330.7	168.216	8165.53	7621.16	91453.9	0.0370817	0.1
196971	267451	3950.97	603.098	83.573	83573	195.817	7455.12	6958.11	83497.3	0.0406476	0.1
217163	111630	7863.34	454.841	115.029	115029	243.51	6825.89	6370.83	76450	0.0443053	0.1
181419	5257.95	19210.8	55.1012	375.436	375436	288.48	4703.39	4389.83	52678	0.0608238	0.1
193669	525484	1845.86	792.846	69.7934	69793.4	170.746	8057.32	7520.17	90242	0.0375894	0.1
204147	73910.4	9816.38	380.042	136.197	136197	264.302	6558.95	6121.68	73460.2	0.0460144	0.1
222955	682243	1385.57	934.221	67.1024	67102.4	166.169	8271.75	7720.3	92643.6	0.0365948	0.1
186695	461304	2138.6	738.968	71.586	71586	173.936	7944.23	7414.62	88975.4	0.0381332	0.1
193640	53129.9	11409.8	321.862	158.846	158846	278.513	6328.05	5906.18	70874.2	0.0475733	0.1
195933	57553.4	11025.2	335.794	152.785	152785	275.367	6385.98	5960.25	71522.9	0.047175	0.1
214514	644270	1475.09	899.269	67.611	67611	167.006	8225.74	7677.36	92128.3	0.0368043	0.1
197055	12744.4	15989.1	111.223	275.943	275943	295.661	5438.27	5075.72	60908.6	0.0543237	0.1
201991	69424.9	10118.5	368.871	140.034	140034	267.218	6516.74	6082.29	72987.5	0.0462937	0.1
201780	68997.5	10148.3	367.773	140.424	140424	267.501	6512.54	6078.37	72940.5	0.0463216	0.1
209890	87280	9020.24	410.002	126.889	126889	256.198	6668.26	6223.71	74684.5	0.0453027	0.1
200852	572588	1678.35	834.293	68.7935	68793.5	169.008	8129.42	7587.46	91049.5	0.0372498	0.1
173356	4542.22	20215.7	49.9099	398.57	398570	285.47	4498.97	4199.04	50388.4	0.0627774	0.1
211375	629130	1513.88	885.411	67.8338	67833.8	167.378	8206.53	7659.43	91913.1	0.0368924	0.1
