"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).n_6"
0.0714716	55504.4	11132	327.278	511.692	511692	339.711	7833.12	7310.92	87731	0.0835227	0.0714716	18817.9	192714	3
0.0448684	5295.81	19153.6	55.3415	534.9	534900	291.891	4768.44	4450.54	53406.5	0.101798	0.0448684	17735.7	181631	3
0.113151	87087.2	8973.17	406.84	224.281	224281	337.653	8813.87	8226.28	98715.4	0.0514296	0.113151	20226.9	207143	3
0.139924	203711	5146.92	561.411	69.443	69443	138.591	4753.67	4436.76	53241.1	0.0374738	0.139924	20857.5	213601	3
0.115576	87979.7	8932.24	409.031	197.533	197533	327.131	8560.85	7990.13	95881.5	0.0499172	0.115576	20292.4	207814	3
0.0110005	4408.01	20430.8	48.9032	539.193	539193	287.09	4492.64	4193.13	50317.6	0.109868	0.0110005	16743.1	171466	3
0.0925731	72657.6	9826.69	374.024	431.852	431852	350.845	8701.38	8121.29	97455.5	0.0662045	0.0925731	19597.4	200697	3
0.0647691	275282	3760.49	600.174	521.53	521530	455.74	17660.3	16482.9	197795	0.088848	0.0647691	18548.2	189952	3
0.0503048	5545.81	18870.1	57.137	532.715	532715	293.016	4834.41	4512.11	54145.4	0.0988205	0.0503048	17954.3	183869	3
0.0792218	571061	1630.68	823.779	493.595	493595	524.363	25361.6	23670.9	284050	0.0771232	0.0792218	19118.3	195790	3
0.0717769	261092	3976.66	591.419	511.136	511136	449.882	17087.5	15948.3	191379	0.0832739	0.0717769	18830	192838	3
0.098474	77233	9533.3	384.826	385.511	385511	352.41	8892.33	8299.51	99594.1	0.0616416	0.098474	19791.7	202686	3
0.0898549	231006	4496.27	572.142	448.747	448747	435.684	15795	14742	176904	0.0683754	0.0898549	19504.3	199742	3
0.141488	84926.7	9256.58	410.052	67.6808	67680.8	113.004	2899.12	2705.84	32470.1	0.0368321	0.141488	20888.6	213919	3
0.0494151	5502.52	18917.2	56.8262	533.126	533126	292.827	4823.32	4501.77	54021.2	0.0993404	0.0494151	17918.1	183499	3
0.0650106	49777.7	11655.8	308.703	521.243	521243	335.288	7520.81	7019.42	84233.1	0.0886617	0.0650106	18558.1	190053	3
0.014983	4456.36	20348.2	49.2585	539.109	539109	287.387	4509.47	4208.83	50506	0.109668	0.014983	16807.1	172120	3
0.0805185	574035	1621.32	826.439	489.59	489590	524.63	25402.1	23708.6	284504	0.0760452	0.0805185	19167.1	196290	3
0.148876	87675.1	9109.14	416.159	62.8392	62839.2	101.18	2619.17	2444.56	29334.7	0.0340249	0.148876	21027.8	215345	3
0.108839	84697.7	9097.76	401.494	274.562	274562	347.831	9010.3	8409.62	100915	0.0542448	0.108839	20106.1	205906	3
0.0677864	268945	3854.88	596.277	517.615	517615	453.168	17406.8	16246.3	194956	0.0864874	0.0677864	18670.6	191205	3
0.227076	688687	1374.6	940.828	60.0004	60000.4	139.941	6975.26	6510.24	78122.9	0.0187899	0.227076	21955.6	224847	3
0.0896833	70383.6	9980.21	368.435	449.727	449727	349.691	8595.95	8022.89	96274.6	0.0685137	0.0896833	19498.3	199681	3
0.0344835	4906.59	19656	52.5365	537.44	537440	289.95	4655.88	4345.49	52145.8	0.1061	0.0344835	17345.3	177632	3
0.0271117	4694.51	19965.7	50.9985	538.402	538402	288.787	4589.17	4283.22	51398.7	0.108066	0.0271117	17104.1	175163	3
0.0818713	12499.8	16000.1	109.166	485.043	485043	305.797	5622.19	5247.38	62968.5	0.0749214	0.0818713	19217.5	196806	3
0.0667772	51387.6	11503.5	314.115	519.008	519008	336.553	7609.3	7102.01	85224.2	0.0872845	0.0667772	18629.8	190787	3
0.0681993	543089	1724.56	799	517.018	517018	521.251	24939.7	23277.1	279325	0.0861591	0.0681993	18687.2	191375	3
0.079638	13300.8	15886.6	115.303	492.345	492345	306.505	5661.27	5283.85	63406.2	0.0767772	0.079638	19134	195951	3
0.199637	114067	7843.07	463.554	60.0049	60004.9	98.4783	2764.21	2579.93	30959.2	0.0220535	0.199637	21717.6	222409	3
0.0526298	35083.8	13242.6	250.263	531.526	531526	323.206	6703.08	6256.21	75074.5	0.0974041	0.0526298	18049.4	184843	3
0.089912	230922	4497.85	572.086	448.419	448419	435.638	15791.2	14738.4	176861	0.0683294	0.089912	19506.2	199763	3
0.122932	87530.2	9001.33	410.266	131.245	131245	263.544	6867.46	6409.63	76915.5	0.0456423	0.122932	20480.3	209738	3
0.153692	89840.4	8992	420.633	61.4721	61472.1	98.1887	2560.08	2389.41	28672.9	0.0323806	0.153692	21112.2	216209	3
0.202605	115989	7763.7	466.546	60.0036	60003.6	98.7643	2787.04	2601.24	31214.9	0.0216261	0.202605	21746.9	222709	3
0.0672648	6604.32	17932.5	64.7543	518.346	518346	296.861	5065.7	4727.98	56735.8	0.0869002	0.0672648	18649.5	190989	3
0.0933237	73245.1	9787.88	375.443	426.711	426711	351.112	8727.73	8145.88	97750.6	0.0656121	0.0933237	19622.8	200956	3
0.013417	4435.59	20383.5	49.1059	539.148	539148	287.26	4502.26	4202.11	50425.4	0.109761	0.013417	16779.7	171841	3
0.076111	14471.6	15736.6	124.216	501.951	501951	307.443	5713.57	5332.66	63992	0.079707	0.076111	18999.5	194573	3
0.113739	87341.1	8960.9	407.437	217.641	217641	335.491	8764.08	8179.81	98157.7	0.0510581	0.113739	20243	207307	3
0.125818	86283.6	9095.18	408.889	112.668	112668	228.513	5920.4	5525.71	66308.5	0.0440912	0.125818	20549.8	210449	3
0.086047	67495.5	10183	361.103	468.287	468287	348.016	8456	7892.27	94707.2	0.0714728	0.086047	19369.9	198366	3
0.00182684	4352.97	20526.8	48.4976	539.247	539247	286.746	4473.22	4175.01	50100.1	0.109999	0.00182684	16668.8	170705	3
0.108154	84255.8	9121.89	400.523	282.613	282613	348.757	9020.97	8419.57	101035	0.0547068	0.108154	20086.3	205703	3
0.127843	636107	1477.77	888.382	102.078	102078	301.299	14835.6	13846.5	166158	0.0430446	0.127843	20597.1	210935	3
0.0965863	75781.2	9624.21	381.458	401.834	401834	352.063	8835.88	8246.82	98961.8	0.0630766	0.0965863	19730.8	202062	3
0.112138	86602	8997.36	405.726	235.898	235898	340.872	8884.63	8292.32	99507.9	0.0520766	0.112138	20199	206858	3
0.187411	106949	8150.48	451.999	60.0191	60019.1	97.4237	2679.56	2500.92	30011.1	0.0240565	0.187411	21586.3	221064	3
0.081358	244196	4257.62	580.768	486.814	486814	442.349	16379	15287.1	183445	0.0753476	0.081358	19198.5	196611	3
0.131739	204907	5101.48	560.61	86.6514	86651.4	193.897	6675.76	6230.7	74768.5	0.0411246	0.131739	20685.2	211836	3
0.0552874	39463.9	12733	269.681	529.937	529937	326.872	6946.44	6483.35	77800.2	0.095688	0.0552874	18158.6	185962	3
0.0621044	19675.8	15133	162.065	524.418	524418	311.09	5928.88	5533.62	66403.4	0.0908687	0.0621044	18439.3	188836	3
0.0751805	254802	4078.15	587.493	504.144	504144	447.163	16827.4	15705.6	188467	0.0804772	0.0751805	18963.5	194204	3
0.0921155	72298.8	9850.56	373.152	434.882	434882	350.675	8685.09	8106.09	97273	0.0665672	0.0921155	19581.9	200538	3
0.081452	244041	4260.31	580.669	486.494	486494	442.276	16372.4	15280.9	183371	0.0752696	0.081452	19202	196647	3
0.0669003	51498.3	11493.1	314.481	518.843	518843	336.64	7615.37	7107.68	85292.1	0.0871877	0.0669003	18634.8	190838	3
0.124246	86994.3	9041.91	409.7	122.264	122264	247.83	6441.87	6012.42	72149	0.0449277	0.124246	20512.2	210065	3
0.118458	200313	5145.34	551.907	168.509	168509	359.256	12324.1	11502.5	138029	0.0481866	0.118458	20367.9	208587	3
0.0836003	65534.4	10326	355.963	478.634	478634	346.783	8358.08	7800.87	93610.5	0.0734888	0.0836003	19281.2	197458	3
0.122358	87735.2	8985.48	410.461	135.452	135452	270.154	7046.59	6576.81	78921.8	0.0459593	0.122358	20466.2	209593	3
0.124082	87065.2	9036.58	409.778	123.337	123337	249.825	6495.86	6062.8	72753.6	0.0450161	0.124082	20508.2	210024	3
0.00384877	4358.34	20517.4	48.5372	539.245	539245	286.779	4475.13	4176.79	50121.4	0.109994	0.00384877	16676.1	170780	3
