"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).T0_6"
0.00636462	4370.36	20496.2	48.6259	539.132	539132	286.854	4479.37	4180.75	50169	0.109722	0.00636462	16692.5	170947	0.12
0.157346	671905	1375.05	917.991	156.286	156286	437.881	21824.7	20369.7	244436	0.0474065	0.157346	21173	216832	0.12
0.0574439	42126.3	12438	280.569	525.299	525299	329.048	7094.47	6621.5	79458	0.0915433	0.0574439	18247.5	186872	0.12
0.0308383	4795.21	19815.3	51.73	536.203	536203	289.332	4621.05	4312.98	51755.8	0.103867	0.0308383	17221.4	176363	0.12
0.125461	99388.3	8334.82	429.833	340.707	340707	364.025	9892.99	9233.46	110801	0.0582987	0.125461	20541.3	210363	0.12
0.0982944	77271.6	9529.08	384.836	461.133	461133	354.73	8953.12	8356.24	100275	0.0702475	0.0982944	19786	202627	0.12
0.106421	208286	4950.44	556.12	433.629	433629	424.97	14817.4	13829.6	165955	0.066416	0.106421	20035.8	205186	0.12
0.0319887	4828.96	19766.3	51.9747	535.942	535942	289.515	4631.62	4322.84	51874.1	0.103432	0.0319887	17259.5	176754	0.12
0.115826	196642	5207.16	547.165	392.659	392659	417.937	14264.1	13313.2	159758	0.0622517	0.115826	20299	207882	0.12
0.186488	161501	6192.38	522.607	79.7739	79773.9	163.241	5153.91	4810.32	57723.8	0.0399887	0.186488	21575.6	220955	0.12
0.0900437	70720.7	9956.51	369.249	482.519	482519	350.588	8629.8	8054.48	96653.7	0.0743379	0.0900437	19510.8	199809	0.12
0.0678558	52351.1	11414.2	317.28	516.75	516750	337.293	7661.8	7151.01	85812.1	0.0860142	0.0678558	18673.4	191233	0.12
0.0884154	69421.4	10046.3	366.003	486.068	486068	349.724	8564.14	7993.2	95918.4	0.0751663	0.0884154	19454	199227	0.12
0.0534877	303215	3382.51	617.369	527.745	527745	466.312	18732.7	17483.8	209806	0.0935911	0.0534877	18084.6	185203	0.12
0.0729278	56748.3	11024.7	331.079	511.19	511190	340.671	7900.67	7373.96	88487.5	0.0832977	0.0729278	18875.4	193303	0.12
0.0763746	252665	4113.42	586.147	506.763	506763	446.321	16742.1	15625.9	187511	0.0814589	0.0763746	19009.7	194677	0.12
0.0985311	77459.3	9517.42	385.265	460.428	460428	354.843	8962.17	8364.7	100376	0.070133	0.0985311	19793.5	202705	0.12
0.0951726	74796.7	9685.81	379.093	469.935	469935	353.21	8832.55	8243.71	98924.6	0.0717729	0.0951726	19684.4	201587	0.12
0.0983544	77319.2	9526.12	384.945	460.955	460955	354.758	8955.41	8358.38	100301	0.0702184	0.0983544	19787.9	202647	0.12
0.0148836	4454.96	20350.6	49.2483	538.6	538600	287.373	4508.9	4208.31	50499.7	0.1085	0.0148836	16805.2	172102	0.12
0.0943726	602366	1537.29	851.967	472.046	472046	527.452	25790.1	24070.7	288849	0.0721683	0.0943726	19657.9	201315	0.12
0.0984465	77392.2	9521.58	385.112	460.681	460681	354.802	8958.94	8361.68	100340	0.0701739	0.0984465	19790.8	202677	0.12
0.0710669	550864	1697.35	805.841	513.354	513354	522.221	25064.4	23393.4	280721	0.0842937	0.0710669	18801.9	192549	0.12
0.164915	123004	7397.33	471.434	126.499	126499	270.657	7830.99	7308.93	87707.1	0.0452717	0.164915	21291.1	218041	0.12
