"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).T0_6"
0.00636462	4370.36	20496.2	48.6258	538.985	538985	286.853	4479.35	4180.73	50168.7	0.109377	0.00636462	16692.5	170947	0.08
0.157346	653460	1455.68	908.328	60.9404	60940.4	142.419	7030.83	6562.11	78745.3	0.0313352	0.157346	21173	216832	0.08
0.0574439	42081.5	12443.5	280.407	490.646	490646	328.546	7081.72	6609.6	79315.2	0.076321	0.0574439	18247.5	186872	0.08
0.0308383	4795.03	19815.7	51.7292	531.339	531339	289.284	4620.22	4312.2	51746.4	0.0971924	0.0308383	17221.4	176363	0.08
0.125461	78252.9	9639.44	394.569	77.8524	77852.4	138.617	3475.81	3244.09	38929.1	0.0396174	0.125461	20541.3	210363	0.08
0.0982944	74943.3	9700.56	380.458	206.816	206816	323.56	8084.09	7545.15	90541.9	0.0504477	0.0982944	19786	202627	0.08
0.106421	77464.8	9576.39	387.853	146.45	146450	279.771	7041.43	6572	78864	0.0467453	0.106421	20035.8	205186	0.08
0.0319887	4828.76	19766.7	51.9738	530.573	530573	289.462	4630.69	4321.97	51863.7	0.0963532	0.0319887	17259.5	176754	0.08
0.115826	77405.6	9644.05	390.498	101.427	101427	199.608	5003.8	4670.22	56042.6	0.0429747	0.115826	20299	207882	0.08
0.186488	173093	5897.44	536.026	60.0783	60078.3	106.867	3451.37	3221.28	38655.3	0.0263869	0.186488	21575.6	220955	0.08
0.0900437	69916.7	10021.3	367.621	282.024	282024	339.172	8317.7	7763.18	93158.2	0.0546729	0.0900437	19510.8	199809	0.08
0.0678558	52268.4	11423.1	317.049	450.172	450172	336.102	7631.17	7122.43	85469.1	0.0685769	0.0678558	18673.4	191233	0.08
0.0884154	68763.5	10100.3	364.648	297.288	297288	340.294	8307.46	7753.63	93043.5	0.0555655	0.0884154	19454	199227	0.08
0.0534877	303276	3381.87	617.421	501.091	501091	465.854	18715.4	17467.8	209613	0.0794164	0.0534877	18084.6	185203	0.08
0.0729278	56621.2	11037.4	330.756	421.78	421780	338.79	7851.66	7328.22	87938.6	0.0650685	0.0729278	18875.4	193303	0.08
0.0763746	564021	1653.83	817.592	398.753	398753	520.011	25083.9	23411.6	280939	0.062794	0.0763746	19009.7	194677	0.08
0.0985311	75058.3	9693.84	380.758	204.807	204807	322.759	8067.28	7529.46	90353.5	0.0503336	0.0985311	19793.5	202705	0.08
0.0951726	73247	9803.66	376.105	234.322	234322	331.963	8244.14	7694.53	92334.4	0.0519889	0.0951726	19684.4	201587	0.08
0.0983544	74972.7	9698.84	380.535	206.306	206306	323.359	8079.9	7541.24	90494.9	0.0504187	0.0983544	19787.9	202647	0.08
0.0148836	4454.94	20350.7	49.2482	537.739	537739	287.365	4508.76	4208.18	50498.2	0.106688	0.0148836	16805.2	172102	0.08
0.0943726	72765.5	9834.03	374.881	241.622	241622	333.551	8268.95	7717.68	92612.2	0.052395	0.0943726	19657.9	201315	0.08
0.0984465	75017.5	9696.22	380.652	205.524	205524	323.048	8073.37	7535.15	90421.8	0.0503743	0.0984465	19790.8	202677	0.08
0.0710669	550671	1698.36	805.729	432.942	432942	519.895	24949.8	23286.5	279438	0.0663338	0.0710669	18801.9	192549	0.08
0.164915	95336.4	8704.15	431.341	60.4782	60478.2	96.6905	2566.61	2395.5	28746	0.0298588	0.164915	21291.1	218041	0.08
0.122008	77654.6	9663.4	392.598	84.3119	84311.9	155.89	3903.42	3643.2	43718.4	0.0407662	0.122008	20457.5	209505	0.08
0.103079	218906	4751.36	565.726	168.97	168970	367.02	13015	12147.3	145768	0.0482153	0.103079	19935.6	204160	0.08
0.0292094	4749.41	19883.1	51.3981	532.335	532335	289.039	4605.89	4298.83	51586	0.0983547	0.0292094	17168.9	175826	0.08
0.00438763	4360.42	20513.7	48.5525	539.123	539123	286.791	4475.85	4177.46	50129.5	0.109703	0.00438763	16679	170809	0.08
0.0993861	75455.4	9671	381.803	197.662	197662	319.654	8000.41	7467.05	89604.6	0.0499247	0.0993861	19820.7	202984	0.08
0.15059	648183	1468.27	903.416	61.7432	61743.2	145.164	7155.67	6678.63	80143.5	0.0327902	0.15059	21058.4	215658	0.08
0.0381393	5030.68	19487.5	53.4338	525.455	525455	290.483	4691.24	4378.49	52541.9	0.0916661	0.0381393	17477.3	178984	0.08
0.154852	90364.9	8964.02	421.698	61.1794	61179.4	97.5631	2548.16	2378.29	28539.4	0.0318564	0.154852	21131.8	216410	0.08
0.0960403	224733	4624.51	568.693	226.506	226506	405.847	14550	13580	162960	0.0515537	0.0960403	19712.9	201879	0.08
0.0726464	56385.3	11057.6	330.038	423.524	423524	338.658	7840.07	7317.4	87808.8	0.0652582	0.0726464	18864.4	193189	0.08
0.0533966	36537.6	13070.9	256.944	501.306	501306	324.054	6775.58	6323.87	75886.5	0.0794884	0.0533966	18080.8	185165	0.08
0.0238528	4616.94	20086.2	50.4338	534.98	534980	288.307	4563.2	4258.99	51107.9	0.101918	0.0238528	17010.7	174206	0.08
0.0967479	224000	4639.58	568.263	220.221	220221	403.015	14429.6	13467.6	161611	0.0512026	0.0967479	19736	202116	0.08
0.0638602	48641.3	11766.8	304.814	468.265	468265	333.563	7439.34	6943.38	83320.6	0.0714689	0.0638602	18511.2	189572	0.08
0.103678	218577	4759.42	565.627	164.68	164680	362.471	12844.9	11988.5	143862	0.0479465	0.103678	19953.8	204346	0.08
0.12188	77638.8	9663.8	392.536	84.5887	84588.7	156.629	3921.81	3660.36	43924.3	0.0408099	0.12188	20454.4	209472	0.08
0.138249	206465	5090.85	563.908	65.4879	65487.9	126.85	4371.22	4079.81	48957.7	0.0358347	0.138249	20823.6	213254	0.08
0.070582	6873.01	17751.6	66.7165	435.706	435706	296.371	5091.21	4751.8	57021.6	0.0666677	0.070582	18782.6	192352	0.08
0.0661361	50734	11566	311.971	458.393	458393	335.054	7550.73	7047.35	84568.2	0.0698084	0.0661361	18603.8	190521	0.08
0.123571	77884.4	9655.62	393.42	81.156	81156	147.452	3693.81	3447.56	41370.7	0.0402388	0.123571	20495.9	209897	0.08
0.172201	99003.2	8521.6	438.126	60.2542	60254.2	96.7427	2597.84	2424.65	29095.8	0.028574	0.172201	21395.2	219108	0.08
0.0964307	73968.2	9759.01	377.944	223.027	223027	329.027	8192.59	7646.42	91757	0.0513596	0.0964307	19725.7	202010	0.08
0.0779335	7656.74	17306.5	72.463	387.34	387340	297.059	5188.93	4843	58116	0.0617951	0.0779335	19069.4	195289	0.08
0.0673293	51802.4	11466.1	315.521	452.761	452761	335.788	7606.87	7099.74	85196.9	0.0689517	0.0673293	18652.1	191016	0.08
0.140371	83549.4	9343.22	407.427	64.5023	64502.3	104.57	2668.77	2490.85	29890.2	0.0352721	0.140371	20866.5	213693	0.08
0.0165958	4480.09	20308.4	49.4328	537.343	537343	287.515	4517.38	4216.22	50594.6	0.105915	0.0165958	16838	172438	0.08
0.126747	78556.9	9624.49	395.442	75.8874	75887.4	133.389	3347.68	3124.5	37494	0.039204	0.126747	20571.7	210674	0.08
0.0678841	268900	3856	596.294	450.031	450031	451.622	17345.6	16189.2	194271	0.0685569	0.0678841	18674.5	191245	0.08
0.0241507	4623.61	20075.7	50.4824	534.855	534855	288.345	4565.39	4261.03	51132.3	0.101731	0.0241507	17018.9	174289	0.08
0.207454	119430	7625.14	471.773	60.0164	60016.4	99.3094	2828.81	2640.22	31682.7	0.0238162	0.207454	21792.7	223178	0.08
0.134093	80941.1	9492.88	401.471	68.0805	68080.5	113.204	2863.35	2672.46	32069.6	0.0369876	0.134093	20736.5	212362	0.08
0.00834919	4384.01	20472.4	48.7265	538.793	538793	286.936	4484.15	4185.2	50222.4	0.108933	0.00834919	16710.9	171136	0.08
0.101118	76165.9	9631.9	383.724	183.745	183745	312.271	7833.65	7311.4	87736.8	0.0491118	0.101118	19875.1	203541	0.08
0.107799	77587.6	9577.25	388.505	138.179	138179	269.03	6770.74	6319.35	75832.3	0.0461595	0.107799	20076.1	205598	0.08
0.105228	77290.8	9580.41	387.156	154.09	154090	288.369	7256.09	6772.35	81268.2	0.0472618	0.105228	20000.4	204824	0.08
0.0839095	11909.6	16103.4	104.709	338.343	338343	300.689	5505.27	5138.25	61659	0.05814	0.0839095	19292.5	197574	0.08
0.0117823	4416.32	20416.5	48.9643	538.324	538324	287.133	4495.42	4195.72	50348.7	0.107898	0.0117823	16754.2	171579	0.08
0.00500176	4363.11	20509	48.5724	539.086	539086	286.808	4476.8	4178.34	50140.1	0.109615	0.00500176	16682.6	170846	0.08
0.0955149	73447.8	9791.13	376.616	231.225	231225	331.219	8231.7	7682.92	92195	0.0518166	0.0955149	19695.7	201703	0.08
0.0897578	69716.9	10034.9	367.108	284.71	284710	339.401	8316.82	7762.37	93148.4	0.0548281	0.0897578	19500.9	199708	0.08
0.0646594	49385.4	11694.6	307.39	464.925	464925	334.1	7479.14	6980.53	83766.4	0.0708818	0.0646594	18543.8	189906	0.08
0.0569303	508244	1858.64	768.862	492.132	492132	515.651	24297.9	22678	272136	0.0767189	0.0569303	18226.3	186655	0.08
0.148899	87488.3	9121.04	415.848	62.0377	62037.7	99.1627	2565.08	2394.08	28728.9	0.0331765	0.148899	21028.2	215349	0.08
0.0997884	75632	9661.05	382.273	194.361	194361	318.073	7965.5	7434.46	89213.6	0.049734	0.0997884	19833.5	203114	0.08
0.217011	128754	7270.87	485.152	60.0086	60008.6	100.65	2937.84	2741.98	32903.8	0.0228444	0.217011	21876.3	224034	0.08
0.0929187	71850.5	9892.84	372.557	255.068	255068	335.95	8300.01	7746.68	92960.2	0.0531448	0.0929187	19609.1	200816	0.08
0.0330405	4860.71	19721	52.2052	529.825	529825	289.628	4640.51	4331.14	51973.7	0.0955739	0.0330405	17295.2	177120	0.08
0.0495009	5505.27	18915.1	56.8485	509.557	509557	292.586	4819.7	4498.39	53980.6	0.0825905	0.0495009	17921.6	183535	0.08
0.123297	77839.1	9657.36	393.267	81.6798	81679.8	148.854	3728.56	3479.99	41759.9	0.0403303	0.123297	20489.2	209829	0.08
0.107456	77564.4	9576.52	388.357	140.182	140182	271.778	6840.19	6384.18	76610.1	0.0463043	0.107456	20066.1	205496	0.08
0.0850663	66294.2	10275.4	358.171	328.051	328051	341.452	8253.16	7702.94	92435.3	0.0574643	0.0850663	19334.6	198004	0.08
