"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.0651953	534492	1755.77	791.488	504.128	504128	519.797	24781.4	23129.3	277552	0.0804716	0.0651953	18565.6	190130	0.1
0.109726	85744.9	9036.35	403.553	303.201	303201	352.27	9159.73	8549.08	102589	0.0559188	0.109726	20131.4	206165	0.1
0.0455377	5324.39	19120	55.5477	527.068	527068	291.948	4774.94	4456.61	53479.3	0.0929965	0.0455377	17762.3	181903	0.1
0.12292	94303.1	8599.21	421.288	206.463	206463	335.039	8952.57	8355.73	100269	0.0504276	0.12292	20480	209735	0.1
0.0841164	11557.9	16152.7	101.94	452.937	452937	304.453	5563.11	5192.24	62306.9	0.0689776	0.0841164	19300.1	197651	0.1
0.109286	85421.4	9054.14	402.868	306.467	306467	352.413	9153.44	8543.22	102519	0.0561161	0.109286	20118.9	206037	0.1
0.0190375	4520.71	20241.1	49.7303	537.663	537663	287.763	4531.31	4229.23	50750.7	0.106537	0.0190375	16890.2	172972	0.1
0.137561	97214.9	8504.84	429.331	125.96	125960	259.018	6962.85	6498.66	77983.9	0.0452287	0.137561	20809.5	213109	0.1
0.146194	96125.8	8598.46	429.392	97.6732	97673.2	197.049	5265.58	4914.54	58974.5	0.0425562	0.146194	20978.7	214842	0.1
0.0286182	4733.57	19906.7	51.2827	535.364	535364	288.98	4601.3	4294.55	51534.5	0.102506	0.0286182	17150.3	175635	0.1
0.0920639	72219.6	9856.29	372.977	417.202	417202	350.114	8668.31	8090.42	97085.1	0.0645837	0.0920639	19580.2	200520	0.1
0.103542	212467	4863.93	559.338	347.716	347716	422.543	14840.9	13851.5	166218	0.0587779	0.103542	19949.7	204304	0.1
0.0951044	74599.2	9700.09	378.692	400.816	400816	351.214	8775.29	8190.27	98283.3	0.0629825	0.0951044	19682.1	201564	0.1
0.124325	94978.3	8568.36	422.717	197.05	197050	330.884	8858.86	8268.27	99219.2	0.0498894	0.124325	20514.1	210084	0.1
0.0891829	592346	1566.2	842.938	431.322	431322	524.937	25580.5	23875.1	286502	0.0661422	0.0891829	19480.9	199503	0.1
0.0283619	4726.76	19916.9	51.2332	535.443	535443	288.942	4599.12	4292.51	51510.2	0.102629	0.0283619	17142.3	175554	0.1
0.0372005	4997.72	19531.3	53.1953	532.009	532009	290.378	4682.55	4370.38	52444.6	0.0979651	0.0372005	17442.7	178630	0.1
0.0398914	5095.32	19402.6	53.8993	530.625	530625	290.865	4711.07	4397	52764	0.0964087	0.0398914	17542.9	179656	0.1
0.0755952	58963.2	10839.4	337.678	480.998	480998	341.913	8009.5	7475.54	89706.5	0.0739986	0.0755952	18979.5	194369	0.1
0.00874484	4387.18	20466.9	48.7498	538.93	538930	286.957	4485.28	4186.26	50235.2	0.109249	0.00874484	16715.2	171180	0.1
0.0806438	63112.4	10509.3	349.435	465.538	465538	344.751	8224.25	7675.97	92111.6	0.0709875	0.0806438	19171.8	196338	0.1
0.152612	95945.4	8631.24	430.292	84.1367	84136.7	160.654	4284.15	3998.54	47982.5	0.0407383	0.152612	21093.7	216019	0.1
0.0243531	4628.24	20068.4	50.5161	536.546	536546	288.388	4567.18	4262.7	51152.5	0.104457	0.0243531	17024.4	174347	0.1
0.144634	96300.2	8582.96	429.362	101.842	101842	207.561	5551.95	5181.82	62181.9	0.0430193	0.144634	20949.4	214542	0.1
0.0801539	13138.8	15909.6	114.071	467.181	467181	305.993	5646.52	5270.09	63241	0.0712753	0.0801539	19153.5	196150	0.1
0.0207268	4552.03	20189.9	49.9596	537.347	537347	287.947	4541.87	4239.08	50869	0.105922	0.0207268	16930	173379	0.1
0.0829626	241646	4302.56	579.143	457.314	457314	440.549	16247	15163.9	181967	0.0696396	0.0829626	19257.8	197219	0.1
0.0963493	75568.8	9638	380.974	393.668	393668	351.61	8817.34	8229.52	98754.2	0.06234	0.0963493	19723	201983	0.1
0.168054	99289.4	8495.23	437.977	67.8215	67821.5	116.253	3127.01	2918.54	35022.5	0.0368876	0.168054	21337	218512	0.1
0.0858022	585482	1586.43	836.738	446.186	446186	524.709	25509.2	23808.6	285703	0.068021	0.0858022	19361.1	198276	0.1
0.115021	199182	5154.53	549.6	263.495	263495	405.415	13896.9	12970.5	155646	0.0536177	0.115021	20277.5	207662	0.1
