"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.0630204	47893	11839.7	302.167	508.547	508547	333.596	7412.31	6918.16	83017.9	0.0821708	0.0630204	18476.8	189220	0.11
0.0756685	59026.4	10834.2	337.861	482.593	482593	341.988	8013.56	7479.32	89751.9	0.0743547	0.0756685	18982.4	194398	0.11
0.131423	98372.4	8416.12	429.737	165.492	165492	310.846	8403.65	7843.41	94120.9	0.0479977	0.131423	20678.2	211765	0.11
0.053385	36555	13068.5	257.014	520.656	520656	324.318	6781.88	6329.75	75957	0.088287	0.053385	18080.3	185160	0.11
0.229022	689348	1373.07	941.422	60.168	60168	140.551	7006.94	6539.81	78477.7	0.0277762	0.229022	21970	224994	0.11
0.0742512	57841.6	10932.5	334.37	486.238	486238	341.143	7951.1	7421.03	89052.3	0.0752074	0.0742512	18927.3	193834	0.11
0.0664265	51054.6	11534.9	313.016	502.878	502878	336.071	7585.94	7080.21	84962.5	0.0800273	0.0664265	18615.6	190642	0.11
0.0375616	5010.4	19514.2	53.2869	531.95	531950	290.444	4686.32	4373.9	52486.8	0.0978954	0.0375616	17456	178766	0.11
0.109778	85874.2	9028.46	403.788	312.696	312696	353.33	9191.75	8578.97	102948	0.0564968	0.109778	20132.9	206180	0.11
0.17778	103632	8293.72	445.903	65.1108	65110.8	109.867	2993.76	2794.17	33530.1	0.0356304	0.17778	21469.2	219865	0.11
0.0279964	4717.16	19931.4	51.1634	535.604	535604	288.889	4596.06	4289.65	51475.8	0.102884	0.0279964	17131	175438	0.11
0.118363	91987.6	8707.79	416.372	250.24	250240	347.722	9228.02	8612.82	103354	0.0528751	0.118363	20365.4	208562	0.11
0.0794919	13364.4	15878.8	115.796	471.641	471641	306.232	5658.03	5280.82	63369.9	0.0720915	0.0794919	19128.5	195895	0.11
0.172947	101742	8378.76	442.414	67.185	67185	115.019	3116.99	2909.19	34910.3	0.0366297	0.172947	21405.4	219212	0.11
0.101432	215101	4809.09	561.203	369.391	369391	425.217	15004.6	14004.3	168052	0.0603541	0.101432	19884.9	203641	0.11
0.0428812	447694	2150.62	718.911	529.039	529039	505.752	23069	21531	258372	0.0947942	0.0428812	17657.7	180832	0.11
0.0664585	17833.4	15346.2	149.08	502.821	502821	309.616	5847.97	5458.1	65497.3	0.0800072	0.0664585	18616.9	190655	0.11
0.0852469	10835.7	16288	96.399	451.706	451706	303.729	5519.89	5151.89	61822.7	0.0687976	0.0852469	19341.1	198071	0.11
0.0987887	77483.7	9517.69	385.398	385.57	385570	352.582	8904.92	8311.26	99735.2	0.0616465	0.0987887	19801.8	202789	0.11
0.131473	649522	1425.56	897.066	165.217	165217	448.811	22235.6	20753.2	249039	0.0479803	0.131473	20679.3	211776	0.11
0.0131843	4432.68	20388.5	49.0846	538.522	538522	287.236	4501.16	4201.08	50413	0.108327	0.0131843	16775.9	171802	0.11
0.03471	4913.77	19646.1	52.5888	533.229	533229	289.948	4657.4	4346.91	52162.9	0.0994734	0.03471	17353.2	177714	0.11
0.0837204	65601.9	10321.4	356.156	457.428	457428	346.418	8351.48	7794.71	93536.6	0.0696574	0.0837204	19285.6	197503	0.11
0.00224427	4353.76	20525.4	48.5034	539.227	539227	286.75	4473.5	4175.27	50103.2	0.109951	0.00224427	16669.9	170716	0.11
0.0836399	240556	4321.86	578.436	457.721	457721	440.092	16202.3	15122.2	181466	0.069703	0.0836399	19282.7	197473	0.11
0.0269121	4689.4	19973.6	50.9615	535.915	535915	288.734	4587.12	4281.31	51375.7	0.103388	0.0269121	17098.2	175102	0.11
0.0310039	4799.94	19808.4	51.7645	534.64	534640	289.343	4622.3	4314.14	51769.7	0.101415	0.0310039	17226.8	176419	0.11
0.149899	97751.3	8522.33	432.624	95.091	95091	190.892	5125.81	4784.09	57409	0.0422511	0.149899	21046.1	215533	0.11
0.124821	189805	5377.56	542.572	205.477	205477	381.482	12839.8	11983.8	143805	0.0503716	0.124821	20526	210206	0.11
0.121202	93798.1	8618.92	420.035	230.058	230058	343.488	9166.88	8555.75	102669	0.0517517	0.121202	20437.5	209300	0.11
0.180258	104685	8246.49	447.791	64.2925	64292.5	107.911	2949.48	2752.85	33034.2	0.0351391	0.180258	21500.6	220186	0.11
0.0324602	4843.1	19746	52.0773	534.117	534117	289.575	4635.74	4326.69	51920.3	0.100668	0.0324602	17275.4	176917	0.11
0.0390877	5065.41	19441.5	53.6837	531.189	531189	290.719	4702.44	4388.94	52667.3	0.0970248	0.0390877	17512.6	179346	0.11
0.153592	97632.8	8541.33	433.103	87.474	87474	170.354	4568.78	4264.2	51170.4	0.0412451	0.153592	21110.5	216191	0.11
0.111157	86897.6	8972.7	405.932	302.746	302746	352.951	9213.47	8599.24	103191	0.0558915	0.111157	20171.8	206578	0.11
0.140483	98851	8428.32	432.477	123.43	123430	255.137	6892.18	6432.71	77192.5	0.0450238	0.140483	20868.7	213715	0.11
0.154697	97659	8543.54	433.335	85.5077	85507.7	164.93	4422.7	4127.85	49534.2	0.0409525	0.154697	21129.2	216383	0.11
0.0576208	292054	3526.42	610.478	515.965	515965	462.046	18305.7	17085.3	205024	0.0855976	0.0576208	18254.8	186947	0.11
0.0264707	4678.41	19990.5	50.8816	536.037	536037	288.673	4583.56	4277.99	51335.9	0.103589	0.0264707	17085.1	174967	0.11
0.059375	44241.7	12212.1	288.79	513.747	513747	330.666	7209.89	6729.23	80750.7	0.0844824	0.059375	18327.1	187687	0.11
0.0381855	5032.61	19484.7	53.4471	531.646	531646	290.555	4692.86	4380	52560	0.0975415	0.0381855	17479	179002	0.11
0.0571767	293193	3511.31	611.179	516.5	516500	462.477	18349.3	17126.1	205513	0.08588	0.0571767	18236.5	186759	0.11
