"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).T0_6"
0.00636462	4370.36	20496.2	48.6259	539.041	539041	286.853	4479.36	4180.74	50168.8	0.109507	0.00636462	16692.5	170947	0.09
0.157346	654380	1451.6	908.818	64.7206	64720.6	156.306	7720.09	7205.42	86465	0.0354051	0.157346	21173	216832	0.09
0.0574439	42103.4	12440.8	280.487	506.464	506464	328.792	7087.97	6615.43	79385.2	0.0813434	0.0574439	18247.5	186872	0.09
0.0308383	4795.1	19815.5	51.7295	533.324	533324	289.303	4620.56	4312.52	51750.3	0.099598	0.0308383	17221.4	176363	0.09
0.125461	87217	9034.24	410.379	118.807	118807	241.377	6277.1	5858.62	70303.5	0.0446362	0.125461	20541.3	210363	0.09
0.0982944	76673.1	9572.53	383.723	306.984	306984	346.754	8729.28	8147.33	97767.9	0.0561475	0.0982944	19786	202627	0.09
0.106421	210533	4910.14	558.443	239.572	239572	404.272	14143.8	13200.8	158410	0.052281	0.106421	20035.8	205186	0.09
0.0319887	4828.85	19766.5	51.9742	532.775	532775	289.484	4631.07	4322.34	51868	0.0988961	0.0319887	17259.5	176754	0.09
0.115826	203229	5080.34	554.134	169.859	169859	361.733	12476.2	11644.4	139733	0.0482705	0.115826	20299	207882	0.09
0.186488	172923	5901.55	535.833	60.4437	60443.7	107.836	3481.57	3249.46	38993.5	0.029702	0.186488	21575.6	220955	0.09
0.0900437	70473.5	9976.33	368.751	370.978	370978	347.081	8533.71	7964.8	95577.6	0.060476	0.0900437	19510.8	199809	0.09
0.0678558	52313	11418.3	317.174	481.546	481546	336.744	7647.68	7137.83	85654	0.0741198	0.0678558	18673.4	191233	0.09
0.0884154	69211.2	10063.5	365.571	382.341	382341	346.712	8482.01	7916.55	94998.6	0.0613792	0.0884154	19454	199227	0.09
0.0534877	303247	3382.18	617.396	513.072	513072	466.071	18723.6	17475.4	209705	0.0841598	0.0534877	18084.6	185203	0.09
0.0729278	56693.5	11030.2	330.94	464.217	464217	339.86	7879.53	7354.23	88250.8	0.0707609	0.0729278	18875.4	193303	0.09
0.0763746	564198	1652.93	817.694	450.009	450009	522.264	25195.2	23515.5	282186	0.0685537	0.0763746	19009.7	194677	0.09
0.0985311	219571	4720.52	564.559	305.034	305034	421.483	14985.9	13986.9	167843	0.0560294	0.0985311	19793.5	202705	0.09
0.0951726	223923	4633.64	567.507	332.244	332244	426.364	15273.4	14255.2	171062	0.0577367	0.0951726	19684.4	201587	0.09
0.0983544	76716.6	9569.84	383.825	306.491	306491	346.732	8730.12	8148.12	97777.4	0.0561175	0.0983544	19787.9	202647	0.09
0.0148836	4454.95	20350.6	49.2482	538.071	538071	287.368	4508.82	4208.23	50498.8	0.107365	0.0148836	16805.2	172102	0.09
0.0943726	601846	1539.79	851.681	338.544	338544	519.836	25410.3	23716.2	284595	0.0581534	0.0943726	19657.9	201315	0.09
0.0984465	76783.3	9565.71	383.981	305.732	305732	346.698	8731.4	8149.31	97791.7	0.0560715	0.0984465	19790.8	202677	0.09
0.0710669	550779	1697.8	805.791	471.042	471042	521.192	25013.7	23346.1	280153	0.0719787	0.0710669	18801.9	192549	0.09
0.164915	95932.1	8670.56	432.283	62.5232	62523.2	101.858	2709.49	2528.86	30346.3	0.0337187	0.164915	21291.1	218041	0.09
0.122008	87343.2	9008.05	409.713	134.475	134475	268.494	6993.55	6527.32	78327.8	0.0458866	0.122008	20457.5	209505	0.09
0.103079	214126	4833.02	560.858	267.161	267161	412.873	14539.4	13570.1	162841	0.0538246	0.103079	19935.6	204160	0.09
0.0292094	4749.47	19882.9	51.3983	534.044	534044	289.056	4606.18	4299.1	51589.3	0.100566	0.0292094	17168.9	175826	0.09
0.00438763	4360.42	20513.7	48.5525	539.15	539150	286.792	4475.85	4177.46	50129.5	0.109765	0.00438763	16679	170809	0.09
0.0993861	77459.1	9524.15	385.556	297.962	297962	346.299	8742.89	8160.03	97920.4	0.0556055	0.0993861	19820.7	202984	0.09
0.15059	649824	1460.96	904.293	68.2591	68259.1	169.687	8371.75	7813.64	93763.6	0.037055	0.15059	21058.4	215658	0.09
0.0381393	5030.85	19487.1	53.4346	529.177	529177	290.522	4691.93	4379.13	52549.6	0.0949281	0.0381393	17477.3	178984	0.09
0.154852	91607.6	8889.24	423.735	65.8048	65804.8	109.455	2872.03	2680.57	32166.8	0.0359975	0.154852	21131.8	216410	0.09
0.0960403	75019.6	9676.36	379.824	325.323	325323	347.32	8690.09	8110.75	97329	0.0572891	0.0960403	19712.9	201879	0.09
0.0726464	56455.6	11050.5	330.217	465.285	465285	339.697	7867.12	7342.65	88111.8	0.0709439	0.0726464	18864.4	193189	0.09
0.0533966	36561.8	13067.8	257.048	513.209	513209	324.232	6780.29	6328.28	75939.3	0.0842248	0.0533966	18080.8	185165	0.09
0.0238528	4616.98	20086.1	50.434	535.985	535985	288.317	4563.37	4259.15	51109.7	0.103503	0.0238528	17010.7	174206	0.09
0.0967479	221850	4674.72	566.106	319.617	319617	424.194	15141.9	14132.4	169589	0.0569274	0.0967479	19736	202116	0.09
0.0638602	48673.4	11763.2	304.912	492.602	492602	334.001	7450.51	6953.81	83445.7	0.0768476	0.0638602	18511.2	189572	0.09
0.103678	213453	4847.26	560.402	262.169	262169	411.5	14473.5	13508.6	162103	0.0535431	0.103678	19953.8	204346	0.09
0.12188	87341.6	9007.46	409.677	135.112	135112	269.455	7018.83	6550.91	78610.9	0.045934	0.12188	20454.4	209472	0.09
0.138249	200479	5204.22	557.583	82.486	82486	179.662	6133.33	5724.44	68693.3	0.0404679	0.138249	20823.6	213254	0.09
0.070582	6880.72	17744.4	66.7645	472.728	472728	297.095	5105.03	4764.69	57176.3	0.0722988	0.070582	18782.6	192352	0.09
0.0661361	50772.5	11561.7	312.082	486.561	486561	335.598	7564.65	7060.34	84724.1	0.0752858	0.0661361	18603.8	190521	0.09
0.123571	87321.9	9017.76	410.08	127.024	127024	256.449	6675.82	6230.76	74769.2	0.0453134	0.123571	20495.9	209897	0.09
0.172201	99361.5	8502.35	438.678	61.3884	61388.4	99.6006	2677.86	2499.34	29992.1	0.0322406	0.172201	21395.2	219108	0.09
0.0964307	75308.6	9658.01	380.51	322.181	322181	347.254	8697.83	8117.98	97415.7	0.0570892	0.0964307	19725.7	202010	0.09
