"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.0630204	47893.8	11839.6	302.169	509.302	509302	333.607	7412.59	6918.42	83021	0.0824835	0.0630204	18476.8	189220	0.12
0.0756685	59028.5	10834	337.867	484.336	484336	342.02	8014.37	7480.08	89761	0.0747552	0.0756685	18982.4	194398	0.12
0.131423	99466.2	8358.07	431.411	176.78	176780	320.675	8701.82	8121.69	97460.3	0.0486943	0.131423	20678.2	211765	0.12
0.053385	36555.7	13068.4	257.017	521.04	521040	324.323	6782.01	6329.88	75958.6	0.088531	0.053385	18080.3	185160	0.12
0.229022	689371	1372.98	941.434	60.2709	60270.9	140.918	7025.31	6556.95	78683.4	0.0287001	0.229022	21970	224994	0.12
0.0742512	57843.5	10932.4	334.375	487.829	487829	341.17	7951.82	7421.7	89060.4	0.0755983	0.0742512	18927.3	193834	0.12
0.0664265	51055.6	11534.8	313.019	503.829	503829	336.086	7586.3	7080.55	84966.6	0.080364	0.0664265	18615.6	190642	0.12
0.0375616	5010.41	19514.2	53.2869	532.065	532065	290.445	4686.34	4373.92	52487.1	0.0980314	0.0375616	17456	178766	0.12
0.109778	85953.3	9023.44	403.922	322.32	322320	354.263	9218.86	8604.27	103251	0.057098	0.109778	20132.9	206180	0.12
0.17778	104283	8260.94	446.875	66.8039	66803.9	114.475	3125.96	2917.56	35010.7	0.036466	0.17778	21469.2	219865	0.12
0.0279964	4717.16	19931.4	51.1634	535.654	535654	288.89	4596.06	4289.66	51475.9	0.102964	0.0279964	17131	175438	0.12
0.118363	92227.1	8693.87	416.757	261.704	261704	350.249	9303.22	8683.01	104196	0.0535169	0.118363	20365.4	208562	0.12
0.0794919	13362.9	15878.9	115.783	473.856	473856	306.268	5658.66	5281.41	63376.9	0.0725175	0.0794919	19128.5	195895	0.12
0.172947	102559	8336.67	443.646	69.3843	69384.3	121.117	3291.16	3071.75	36861	0.0374541	0.172947	21405.4	219212	0.12
0.101432	215059	4809.82	561.16	376.55	376550	425.617	15017.8	14016.6	168199	0.0609119	0.101432	19884.9	203641	0.12
0.0428812	447695	2150.61	718.911	529.214	529214	505.755	23069.1	21531.2	258374	0.0949651	0.0428812	17657.7	180832	0.12
0.0664585	17832.9	15346.2	149.076	503.774	503774	309.628	5848.19	5458.31	65499.7	0.0803442	0.0664585	18616.9	190655	0.12
0.0852469	10828.4	16289.3	96.3423	454.836	454836	303.783	5520.57	5152.53	61830.3	0.0692606	0.0852469	19341.1	198071	0.12
0.0987887	77504.6	9516.19	385.437	391.948	391948	352.859	8912.73	8318.55	99822.6	0.0621898	0.0987887	19801.8	202789	0.12
0.131473	650346	1421.89	897.499	176.497	176497	462.265	22912.1	21384.7	256616	0.0486772	0.131473	20679.3	211776	0.12
0.0131843	4432.68	20388.5	49.0846	538.53	538530	287.236	4501.16	4201.08	50413	0.108346	0.0131843	16775.9	171802	0.12
0.03471	4913.77	19646.1	52.5888	533.319	533319	289.948	4657.42	4346.92	52163	0.0995917	0.03471	17353.2	177714	0.12
0.0837204	65606.3	10321	356.165	460.29	460290	346.482	8353.18	7796.31	93555.7	0.0701107	0.0837204	19285.6	197503	0.12
