"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.0630204	47890.4	11840	302.159	506.176	506176	333.562	7411.44	6917.34	83008.1	0.0812328	0.0630204	18476.8	189220	0.08
0.0756685	59019.5	10834.8	337.845	477.024	477024	341.886	8010.87	7476.81	89721.8	0.0731532	0.0756685	18982.4	194398	0.08
0.131423	94269.1	8642.11	423.331	134.758	134758	272.203	7253.81	6770.22	81242.7	0.0459077	0.131423	20678.2	211765	0.08
0.053385	36552.8	13068.7	257.005	519.464	519464	324.302	6781.45	6329.35	75952.2	0.0875552	0.053385	18080.3	185160	0.08
0.229022	689319	1373.2	941.407	60.0346	60034.6	140.077	6983.2	6517.66	78211.9	0.0250046	0.229022	21970	224994	0.08
0.0742512	57835.6	10933.1	334.355	481.161	481161	341.052	7948.75	7418.83	89025.9	0.0740346	0.0742512	18927.3	193834	0.08
0.0664265	538052	1742.73	794.598	499.877	499877	520.2	24837.6	23181.8	278181	0.0790169	0.0664265	18615.6	190642	0.08
0.0375616	5010.39	19514.3	53.2868	531.599	531599	290.44	4686.26	4373.84	52486.1	0.0974873	0.0375616	17456	178766	0.08
0.109778	85554.1	9048.85	403.244	282.38	282380	349.547	9081.94	8476.48	101718	0.0546934	0.109778	20132.9	206180	0.08
0.17778	102495	8351.7	444.196	61.9949	61994.9	101.642	2759.27	2575.32	30903.8	0.0331235	0.17778	21469.2	219865	0.08
0.0279964	4717.15	19931.4	51.1634	535.453	535453	288.888	4596.03	4289.63	51475.5	0.102644	0.0279964	17131	175438	0.08
0.118363	90973.2	8767.3	414.732	215.706	215706	336.921	8908.06	8314.19	99770.3	0.0509495	0.118363	20365.4	208562	0.08
0.0794919	13369.6	15878.4	115.837	464.527	464527	306.113	5655.92	5278.86	63346.3	0.0708137	0.0794919	19128.5	195895	0.08
0.172947	100275	8455.62	440.182	62.9852	62985.2	103.777	2798.5	2611.94	31343.3	0.0341565	0.172947	21405.4	219212	0.08
