"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).n_6"
0.084449	11437.6	16175.9	101.029	418.062	418062	303.543	5541.33	5171.91	62062.9	0.0646734	0.084449	19312.2	197775	1
0.12301	96709.6	8466.2	425.082	294.366	294366	358.014	9647.83	9004.64	108056	0.0553925	0.12301	20482.2	209757	1
0.0087695	4387.27	20466.9	48.7508	535.046	535046	286.921	4484.72	4185.74	50228.9	0.102018	0.0087695	16715.5	171183	1
0.142675	114521	7682.69	455.806	230.844	230844	355.379	10083.5	9411.23	112935	0.0517954	0.142675	20911.8	214157	1
0.127183	100197	8300.64	431.496	280.364	280364	358.172	9755.45	9105.09	109261	0.0545772	0.127183	20581.8	210778	1
0.0580841	42792	12366.9	283.216	479.274	479274	328.955	7117.45	6642.96	79715.5	0.0736249	0.0580841	18273.9	187142	1
0.102314	80207.9	9352.41	391.543	363.821	363821	353.365	9013.36	8412.47	100950	0.0599339	0.102314	19912.1	203920	1
0.0413423	5149.79	19334	54.2942	505.676	505676	290.864	4722.16	4407.35	52888.2	0.0810427	0.0413423	17598.2	180222	1
0.114951	198286	5171.67	548.626	321.672	321672	413.734	14162	13217.9	158615	0.0570569	0.114951	20275.7	207643	1
0.142824	165523	5992.53	519.959	230.392	230392	380.848	12209.6	11395.6	136748	0.0517702	0.142824	20914.7	214186	1
0.0678182	52249.5	11424.6	316.981	459.553	459553	336.286	7634.74	7125.76	85509.1	0.0699924	0.0678182	18671.8	191218	1
0.0674173	17492.4	15386.6	146.636	460.432	460432	308.733	5821.43	5433.33	65200	0.0701337	0.0674173	18655.7	191052	1
0.0617379	523958	1795.71	782.365	472.266	472266	517.504	24559.9	22922.6	275071	0.0722102	0.0617379	18424.2	188682	1
0.038136	383465	2578.96	670.488	509.741	509741	490.715	21377.8	19952.6	239431	0.0826685	0.038136	17477.2	178983	1
0.093044	599675	1545.35	849.609	393.025	393025	523.888	25591.7	23885.6	286627	0.0622836	0.093044	19613.3	200860	1
0.035874	4951.37	19595	52.8627	512.434	512434	289.927	4665.16	4354.15	52249.8	0.0838616	0.035874	17394.7	178138	1
0.0247032	4635.81	20057	50.5724	523.766	523766	288.305	4567.59	4263.09	51157	0.0903885	0.0247032	17034.2	174447	1
0.161539	676636	1360.96	921.661	179.41	179410	467.446	23337.5	21781.6	261380	0.0488529	0.161539	21239.7	217515	1
0.133749	105920	8042.55	441.584	258.786	258786	357.697	9908.16	9247.62	110971	0.053353	0.133749	20729.1	212286	1
0.0570254	22559.9	14790.7	181.351	481.218	481218	312.53	6044.28	5641.33	67696	0.0740471	0.0570254	18230.2	186695	1
0.108281	624944	1477.21	872.688	344.141	344141	522.84	25745.6	24029.2	288351	0.0585319	0.108281	20090	205741	1
0.131044	103519	8148.86	437.415	267.594	267594	358.009	9847.78	9191.26	110295	0.053849	0.131044	20669.8	211678	1
0.0956614	222880	4652.87	566.674	384.984	384984	429.59	15363.4	14339.2	172071	0.0615976	0.0956614	19700.5	201752	1
0.11252	88241.8	8897.83	408.582	329.899	329899	356.345	9345.28	8722.26	104667	0.0575839	0.11252	20209.6	206966	1
0.0483822	5451.18	18975.6	56.4619	495.672	495672	292.169	4802.65	4482.47	53789.7	0.0777196	0.0483822	17876.3	183071	1
0.0404679	5116.04	19376.9	54.0511	506.814	506814	290.709	4712.7	4398.52	52782.2	0.0814787	0.0404679	17564.7	179880	1
0.10748	207389	4971.05	555.581	346.813	346813	420.16	14624.4	13649.4	163793	0.0587155	0.10748	20066.8	205503	1
0.204559	691262	1346.97	938.755	106.553	106553	319.846	15995.2	14928.8	179146	0.0435061	0.204559	21765.6	222901	1
0.117679	195054	5245.49	546.067	312.418	312418	411.238	13991.3	13058.6	156703	0.0564797	0.117679	20347.7	208380	1
0.171958	681764	1353.21	927.099	156.227	156227	438.515	21913.3	20452.4	245429	0.0474026	0.171958	21391.9	219074	1
0.0583595	43097.4	12334.2	284.409	478.762	478762	329.2	7134.35	6658.73	79904.8	0.073516	0.0583595	18285.2	187258	1
0.041734	348579	2883.82	646.461	505.158	505158	480.834	20297.5	18944.3	227332	0.0808492	0.041734	17613.2	180377	1
0.130897	103392	8154.6	437.191	268.073	268073	358.021	9844.42	9188.12	110257	0.0538762	0.130897	20666.5	211645	1
0.115467	90589.1	8773.67	413.296	319.925	319925	356.976	9434.53	8805.56	105667	0.0569468	0.115467	20289.5	207784	1
0.1567	673784	1365.95	918.76	191.477	191477	478.385	23869.4	22278.1	267337	0.0495664	0.1567	21162.5	216724	1
0.1767	683681	1350.9	929.244	146.936	146936	423.103	21149	19739.1	236869	0.0467788	0.1767	21455.2	219722	1
0.115931	90960.4	8754.36	414.031	318.352	318352	357.064	9448.29	8818.4	105821	0.0568481	0.115931	20301.8	207910	1
0.204565	691264	1346.97	938.757	106.546	106546	319.823	15994	14927.8	179133	0.0435054	0.204565	21765.7	222902	1
0.122286	643386	1431.57	889.734	296.811	296811	518.416	25665.8	23954.7	287457	0.0555372	0.122286	20464.4	209575	1
0.0152805	4460.32	20341.8	49.2883	531.056	531056	287.334	4509.58	4208.94	50507.3	0.0968775	0.0152805	16812.6	172177	1
0.0864244	586678	1583.04	837.85	412.507	412507	523.451	25458	23760.8	285130	0.0641046	0.0864244	19383.4	198505	1
