"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.0651953	534490	1755.78	791.487	503.209	503209	519.777	24780.4	23128.4	277541	0.0801435	0.0651953	18565.6	190130	0.09
0.109726	85639.8	9043.05	403.374	293.099	293099	351.028	9123.67	8515.42	102185	0.0553179	0.109726	20131.4	206165	0.09
0.0455377	5324.38	19120	55.5476	526.848	526848	291.946	4774.89	4456.57	53478.8	0.0928076	0.0455377	17762.3	181903	0.09
0.12292	93707.6	8632.96	420.344	194.908	194908	329.034	8773.34	8188.45	98261.5	0.0497657	0.12292	20480	209735	0.09
0.0841164	11562.1	16152.1	101.974	449.785	449785	304.394	5562.17	5191.36	62296.3	0.0685218	0.0841164	19300.1	197651	0.09
0.109286	85322.3	9060.48	402.7	296.477	296477	351.236	9119.31	8511.36	102136	0.0555174	0.109286	20118.9	206037	0.09
0.0190375	4520.7	20241.1	49.7303	537.644	537644	287.763	4531.31	4229.22	50750.7	0.106499	0.0190375	16890.2	172972	0.09
0.137561	95361.7	8607.25	426.433	117.336	117336	241.902	6460.57	6029.87	72358.4	0.044509	0.137561	20809.5	213109	0.09
0.146194	94315.5	8700.44	426.532	91.5603	91560.3	180.456	4791.26	4471.84	53662.1	0.0418069	0.146194	20978.7	214842	0.09
0.0286182	4733.57	19906.7	51.2827	535.31	535310	288.979	4601.29	4294.54	51534.4	0.102422	0.0286182	17150.3	175635	0.09
0.0920639	72207.8	9857.21	372.954	412.251	412251	349.948	8663.75	8086.16	97034	0.0640791	0.0920639	19580.2	200520	0.09
0.103542	212535	4862.74	559.408	339.37	339370	421.904	14820	13832	165984	0.0582088	0.103542	19949.7	204304	0.09
0.0951044	74582.5	9701.34	378.66	395.03	395030	350.986	8768.94	8184.34	98212.1	0.0624601	0.0951044	19682.1	201564	0.09
0.124325	94276.5	8607.81	421.609	185.598	185598	323.912	8650.53	8073.83	96886	0.0492215	0.124325	20514.1	210084	0.09
0.0891829	592333	1566.26	842.931	427.091	427091	524.76	25571.7	23866.9	286403	0.0656549	0.0891829	19480.9	199503	0.09
0.0283619	4726.76	19916.9	51.2332	535.391	535391	288.941	4599.11	4292.51	51510.1	0.102547	0.0283619	17142.3	175554	0.09
0.0372005	4997.71	19531.3	53.1953	531.896	531896	290.377	4682.53	4370.37	52444.4	0.0978314	0.0372005	17442.7	178630	0.09
0.0398914	5095.31	19402.6	53.8993	530.484	530484	290.864	4711.05	4396.98	52763.7	0.0962577	0.0398914	17542.9	179656	0.09
0.0755952	58960.9	10839.6	337.672	479.151	479151	341.879	8008.62	7474.71	89696.5	0.0735986	0.0755952	18979.5	194369	0.09
0.00874484	4387.18	20466.9	48.7498	538.926	538926	286.957	4485.28	4186.26	50235.2	0.10924	0.00874484	16715.2	171180	0.09
0.0806438	63108.8	10509.6	349.427	462.99	462990	344.697	8222.82	7674.63	92095.6	0.0705541	0.0806438	19171.8	196338	0.09
0.152612	189449	5463.12	548.858	79.6668	79666.8	168.488	5631.79	5256.34	63076.1	0.0399687	0.152612	21093.7	216019	0.09
0.0243531	4628.24	20068.4	50.5161	536.51	536510	288.388	4567.18	4262.7	51152.4	0.104396	0.0243531	17024.4	174347	0.09
0.144634	94424.5	8688.35	426.403	95.2887	95288.7	190.333	5057.34	4720.19	56642.2	0.042275	0.144634	20949.4	214542	0.09
0.0801539	13140.6	15909.4	114.086	464.71	464710	305.951	5645.78	5269.4	63232.8	0.070845	0.0801539	19153.5	196150	0.09
0.0207268	4552.03	20189.9	49.9596	537.323	537323	287.947	4541.87	4239.08	50868.9	0.105877	0.0207268	16930	173379	0.09
0.0829626	241653	4302.45	579.151	454.374	454374	440.471	16244.3	15161.4	181937	0.0691911	0.0829626	19257.8	197219	0.09
0.0963493	75549.5	9639.43	380.938	387.521	387521	351.349	8810.04	8222.7	98672.4	0.0618105	0.0963493	19723	201983	0.09
0.168054	98664.1	8528.88	437.013	65.9615	65961.5	111.198	2984.61	2785.64	33427.6	0.0360752	0.168054	21337	218512	0.09
0.0858022	585472	1586.47	836.733	442.701	442701	524.582	25502.9	23802.7	285632	0.0675546	0.0858022	19361.1	198276	0.09
0.115021	199475	5148.88	549.909	252.321	252321	402.936	13818.4	12897.2	154766	0.0529912	0.115021	20277.5	207662	0.09
0.110496	204287	5040.24	553.431	287.169	287169	412.103	14261	13310.3	159723	0.0549709	0.110496	20153.2	206388	0.09
0.0743225	15069.8	15665.2	128.735	482.712	482712	307.562	5732.6	5350.42	64205.1	0.0743815	0.0743225	18930.1	193862	0.09
0.0197356	4533.33	20220.4	49.8228	537.515	537515	287.837	4535.58	4233.21	50798.5	0.106247	0.0197356	16906.3	173137	0.09
0.148202	94263.3	8710.83	426.829	87.2776	87277.6	168.844	4480.01	4181.34	50176.1	0.0412166	0.148202	21015.6	215220	0.09
0.0690548	53389.2	11320	320.641	495.534	495534	337.82	7712.01	7197.88	86374.5	0.0776791	0.0690548	18721.6	191727	0.09
0.0543571	24727.7	14523.4	194.936	518.812	518812	314.653	6156.56	5746.12	68953.5	0.0871693	0.0543571	18120.3	185569	0.09
0.112334	202269	5085.27	551.953	272.982	272982	408.733	14091.4	13152	157824	0.0541548	0.112334	20204.5	206913	0.09
0.10369	81174.9	9296.11	393.72	338.302	338302	352.423	9019.87	8418.55	101023	0.0581373	0.10369	19954.2	204350	0.09
0.0614473	19999.1	15095.6	164.296	509.494	509494	311.132	5939.12	5543.18	66518.1	0.0825638	0.0614473	18412.3	188560	0.09
0.171517	100039	8464.47	439.622	64.5382	64538.2	107.73	2903.44	2709.88	32518.6	0.0352944	0.171517	21385.8	219011	0.09
0.0636062	529772	1773.37	787.381	506.004	506004	519.169	24701.7	23054.9	276659	0.0811671	0.0636062	18500.8	189466	0.09
0.126077	94865	8583.33	422.982	174.498	174498	316.496	8465.6	7901.23	94814.7	0.0485556	0.126077	20555.9	210512	0.09
0.074899	58380.2	10887.7	335.967	481.123	481123	341.47	7978.14	7446.26	89355.1	0.0740262	0.074899	18952.5	194092	0.09
0.100544	216344	4783.9	562.113	360.363	360363	425.202	15036.4	14033.9	168407	0.0596786	0.100544	19857.2	203357	0.09
0.0031403	4356.02	20521.5	48.5201	539.206	539206	286.765	4474.3	4176.01	50112.2	0.109901	0.0031403	16673	170747	0.09
0.152756	94538.2	8711.19	428.092	79.4556	79455.6	147.247	3906.89	3646.43	43757.2	0.0399292	0.152756	21096.1	216045	0.09
0.00556257	4365.89	20504.1	48.5929	539.118	539118	286.826	4477.79	4179.27	50151.2	0.109691	0.00556257	16686.4	170885	0.09
0.0783797	7755.34	17252.2	73.1645	470.657	470657	299.327	5239.34	4890.05	58680.6	0.0719068	0.0783797	19086.4	195463	0.09
0.0953485	223277	4644.96	566.936	393.578	393578	430.197	15395.6	14369.3	172431	0.0623321	0.0953485	19690.2	201647	0.09
0.0504168	5550.77	18865.1	57.1736	522.814	522814	292.936	4833.94	4511.68	54140.1	0.0897127	0.0504168	17958.9	183916	0.09
